Table LA3: Eligibility and performance of children who have been looked after continuously for at least 12 months1 at Key Stage 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2009-20132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, All schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,,,,,2010,,,,,,,2011,,,,,,,2012,,,,,,,20132,,,,,
,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,,,
,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON,.,850,,28.5,14.0,14.5,,.,920,,32.9,15.4,15.9,,.,880,,35.0,16.5,17.1,,.,760,,37.5,17.3,17.7,,.,790,,38.9,20.8,21.9
INNER LONDON,.,340,,29.5,14.6,14.9,,.,410,,31.4,14.8,15.6,,.,380,,33.9,19.3,20.1,,.,350,,36.5,16.7,17.0,,.,360,,44.7,24.0,26.3
Camden,100,30,,27.6,x,x,,90-99,25,,32.0,x,x,,90-99,20,,38.9,x,x,,100,25,,37.5,x,x,,100,15,,x,x,x
City of London,100,x,,x,0.0,0.0,,100,x,,x,0.0,0.0,,.,0,,.,.,.,,.,0,,.,.,.,,.,0,,.,.,.
Hackney,90-99,20,,27.3,x,x,,100,30,,33.3,26.7,26.7,,100,20,,30.0,x,x,,100,20,,28.6,x,x,,100,25,,34.8,x,x
Hammersmith and Fulham,100,25,,39.1,26.1,26.1,,90-99,20,,36.8,x,x,,100,15,,x,x,x,,90-99,20,,35.0,x,x,,100,20,,47.6,x,x
Haringey,90-99,30,,33.3,x,x,,90-99,45,,34.8,19.6,19.6,,90-99,45,,22.2,13.3,13.3,,100,40,,47.4,21.1,21.1,,90-99,45,,53.5,32.6,34.9
Islington,100,25,,23.1,x,x,,100,25,,x,x,x,,100,30,,25.0,x,x,,100,30,,32.1,x,x,,100,30,,46.7,x,20
Kensington and Chelsea,100,15,,40.0,x,x,,100,10,,x,x,x,,100,15,,50.0,x,x,,100,10,,x,x,x,,<90,10,,x,x,x
Lambeth,90-99,40,,38.5,25.6,25.6,,100,45,,22.7,x,x,,100,45,,37.0,13.0,13.0,,100,35,,22.9,x,x,,100,35,,51.4,17.1,22.9
Lewisham,100,20,,x,x,x,,100,45,,31.1,13.3,13.3,,100,40,,27.5,x,15.0,,100,35,,42.4,21.2,21.2,,90-99,35,,44.4,25.0,27.8
Newham,100,40,,14.3,x,x,,90-99,55,,22.8,14.0,14.0,,90-99,50,,33.3,23.5,25.5,,100,40,,38.1,16.7,16.7,,100,40,,56.4,33.3,35.9
Southwark,100,35,,26.5,17.6,20.6,,90-99,45,,40.9,18.2,18.2,,100,40,,50.0,26.2,26.2,,90-99,30,,31.0,x,x,,90-99,45,,42.2,26.7,28.9
Tower Hamlets,100,25,,37.5,x,x,,100,25,,37.0,x,x,,100,25,,42.3,23.1,23.1,,100,35,,38.9,16.7,19.4,,100,25,,45.8,25.0,25
Wandsworth,100,15,,x,x,x,,100,15,,x,x,x,,100,15,,x,x,x,,100,20,,44.4,x,x,,100,25,,25.0,x,x
Westminster,100,15,,53.3,x,x,,100,10,,x,x,x,,100,20,,x,x,x,,100,15,,x,x,x,,100,15,,42.9,x,x
OUTER LONDON,.,510,,27.9,13.6,14.2,,.,510,,34.1,15.9,16.2,,.,500,,35.8,14.4,14.8,,.,410,,38.3,17.9,18.4,,.,430,,34.0,18.1,18.3
Barking and Dagenham,100,25,,30.4,x,x,,100,20,,33.3,x,x,,100,30,,35.7,21.4,21.4,,100,25,,x,x,x,,100,25,,26.1,x,x
Barnet,100,20,,31.8,x,x,,90-99,25,,41.7,x,x,,100,25,,22.2,x,x,,100,25,,38.5,x,x,,100,20,,27.3,x,x
Bexley,100,15,,x,x,x,,90-99,20,,x,x,x,,90-99,15,,x,x,x,,100,10,,x,x,x,,100,10,,x,x,x
Brent,90-99,25,,28.0,x,x,,90-99,35,,35.3,26.5,26.5,,90-99,35,,36.4,18.2,18.2,,100,25,,29.6,22.2,25.9,,90-99,35,,41.7,22.2,22.2
Bromley,100,20,,31.6,x,x,,100,15,,37.5,x,x,,100,35,,30.3,x,x,,100,20,,x,x,x,,100,20,,x,x,x
