Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA3a: Key stage 4 eligibility and performance of children who have been looked after continuously for at least twelve months1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2012 - 20162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, All schools3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,2013,,,,,,20144,,,,,20155,,,,,,20166,,,
LA Code,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,,Number at the end of Key Stage 4,Percentage of pupils:,,
,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000020,207,Kensington and Chelsea,10,x,x,x,,10,x,x,x,,,15,x,x,x,,x,x,x,x,,,10,x,x,x
E09000022,208,Lambeth,35,x,x,x,,35,22.9,x,x,,,30,x,x,x,,35,24.2,x,x,,,45,20.5,20.5,x
E09000023,209,Lewisham,35,21.2,x,x,,35,27.8,x,x,,,40,x,15.4,x,,35,17.1,x,x,,,50,17.3,15.4,x
E09000025,316,Newham,40,16.7,x,x,,40,35.9,x,x,,,45,22.7,x,x,,25,25.9,x,x,,,30,x,x,x
E09000028,210,Southwark,30,x,x,x,,45,28.9,13.3,x,,,45,19.6,x,x,,40,27.5,x,x,,,25,x,x,x
E09000030,211,Tower Hamlets,35,20.0,x,x,,25,25.0,x,x,,,25,x,x,x,,30,19.4,22.6,x,,,20,x,x,x
E09000032,212,Wandsworth,20,x,x,x,,25,x,x,x,,,10,x,x,x,,20,x,x,x,,,10,x,x,x
E09000033,213,Westminster,15,x,x,x,,10,x,x,x,,,15,x,x,x,,5,x,x,x,,,15,x,x,x
,,OUTER LONDON,420,18.2,4.0,2.6,,440,17.8,10.1,5.0,,,420,17.0,8.0,3.8,,460,16.3,11.5,3.7,,,470,18.5,10.6,3.8
E09000002,301,Barking and Dagenham,25,x,x,x,,20,x,x,x,,,15,x,x,x,,30,x,18.8,x,,,40,21.1,x,x
E09000003,302,Barnet,25,x,x,x,,20,x,x,x,,,35,x,x,x,,30,x,x,x,,,30,21.9,x,x
E09000004,303,Bexley,10,x,x,x,,10,x,x,x,,,20,x,x,x,,20,x,x,x,,,20,x,x,x
E09000005,304,Brent,30,25.0,x,x,,35,21.6,18.9,x,,,25,x,x,x,,30,x,x,x,,,25,x,x,x
E09000006,305,Bromley,20,x,x,x,,20,x,x,x,,,30,x,x,x,,20,x,x,x,,,15,x,x,x
E09000008,306,Croydon,85,15.5,x,x,,70,14.3,12.9,x,,,65,9.4,x,x,,80,x,x,x,,,90,13.2,8.8,x
E09000009,307,Ealing,30,21.4,x,x,,15,x,x,x,,,35,32.4,x,x,,30,x,x,x,,,30,22.6,x,x
E09000010,308,Enfield,25,x,x,x,,25,41.7,x,x,,,25,x,x,x,,25,x,x,x,,,25,25.0,x,x
E09000011,203,Greenwich,25,37.0,x,x,,40,15.8,15.8,x,,,40,x,x,x,,45,28.9,15.6,x,,,45,25.0,x,x
E09000015,310,Harrow,10,x,x,x,,10,x,x,x,,,10,x,x,x,,15,x,x,x,,,15,x,x,x
E09000016,311,Havering,15,x,x,x,,25,x,x,x,,,5,x,x,x,,x,x,x,x,,,20,x,x,x
E09000017,312,Hillingdon,40,x,x,x,,40,14.3,x,x,,,30,x,x,x,,25,x,x,x,,,20,x,x,x
E09000018,313,Hounslow,15,x,x,x,,30,x,x,x,,,25,x,x,x,,25,26.1,x,x,,,30,28.6,28.6,x
E09000021,314,Kingston upon Thames,5,x,x,x,,5,x,x,x,,,5,x,x,x,,5,x,x,x,,,5,x,x,x
E09000024,315,Merton,10,x,x,x,,15,x,x,x,,,x,x,x,x,,10,x,x,x,,,15,x,x,x
E09000026,317,Redbridge,15,x,x,x,,15,x,x,x,,,15,x,x,x,,20,x,x,x,,,15,x,x,x
E09000027,318,Richmond upon Thames,10,x,x,x,,x,x,x,x,,,x,x,x,x,,10,x,x,x,,,5,x,x,x
E09000029,319,Sutton,10,x,x,x,,15,x,x,x,,,10,x,x,x,,10,x,x,x,,,10,x,x,x
E09000031,320,Waltham Forest,20,x,x,x,,25,25.9,x,x,,,20,x,x,x,,25,26.1,x,x,,,15,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SOUTH EAST,650,11.9,2.9,1.1,,640,12.1,5.2,1.9,,,660,14.3,5.9,2.3,,680,16.7,6.7,2.6,,,650,16.4,6.3,2.3
E06000036,867,Bracknell Forest,10,x,x,x,,10,x,x,x,,,10,x,x,x,,10,x,x,x,,,10,x,x,x
E06000043,846,Brighton and Hove,35,x,x,x,,35,x,x,x,,,40,26.3,x,x,,40,27.5,x,x,,,45,14.0,x,x
E10000002,825,Buckinghamshire,30,25.8,x,x,,30,x,x,x,,,35,21.2,x,x,,40,15.0,x,x,,,25,x,x,x
E10000011,845,East Sussex,40,18.4,x,x,,35,21.2,x,x,,,50,14.6,x,x,,45,x,x,x,,,30,18.8,x,x
E10000014,850,Hampshire,90,9.1,x,x,,105,9.3,x,x,,,80,16.0,8.6,x,,95,8.5,x,x,,,80,15.9,x,x
E06000046,921,Isle of Wight,15,x,x,x,,10,x,x,x,,,15,x,x,x,,20,x,x,x,,,20,x,x,x
E10000016,886,Kent,110,15.3,x,x,,125,15.3,7.3,x,,,140,12.1,x,x,,140,14.4,5.8,x,,,140,20.0,5.7,x
E06000035,887,Medway,20,x,x,x,,20,x,x,x,,,20,x,x,x,,20,27.3,x,x,,,25,x,x,x
E06000042,826,Milton Keynes,20,x,x,x,,15,x,x,x,,,20,x,x,x,,20,x,x,x,,,20,x,x,x
E10000025,931,Oxfordshire,30,x,x,x,,40,x,x,x,,,35,x,x,x,,45,17.8,x,x,,,40,x,x,x
E06000044,851,Portsmouth,20,x,x,x,,20,x,x,x,,,15,x,x,x,,20,x,x,x,,,10,x,x,x
E06000038,870,Reading,15,x,x,x,,15,x,x,x,,,20,x,x,x,,15,x,x,x,,,15,x,x,x
E06000039,871,Slough,15,x,x,x,,10,x,x,x,,,10,x,x,x,,10,x,x,x,,,10,x,x,x
E06000045,852,Southampton,30,20.0,x,x,,20,x,x,x,,,30,x,x,x,,30,x,x,x,,,30,x,x,x
E10000030,936,Surrey,75,9.3,x,x,,65,10.9,x,x,,,70,14.5,10.1,x,,55,17.5,10.5,x,,,55,19.6,10.7,x
E06000037,869,West Berkshire,15,x,x,x,,5,x,x,x,,,15,x,x,x,,15,x,x,x,,,15,x,x,x
E10000032,938,West Sussex,60,9.7,x,x,,65,14.9,x,x,,,50,11.8,x,x,,45,26.1,x,x,,,55,16.1,x,x
E06000040,868,Windsor and Maidenhead,5,x,x,x,,x,x,x,x,,,10,x,x,x,,10,x,x,x,,,10,x,x,x
E06000041,872,Wokingham,5,x,x,x,,x,x,x,x,,,x,x,x,x,,5,x,x,x,,,10,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SOUTH WEST,440,12.6,3.8,1.4,,450,13.9,5.7,2.2,,,460,12.5,5.7,1.5,,460,14.8,4.8,1.3,,,440,21.5,8.5,2.5
E06000022,800,Bath and North East Somerset,15,x,x,x,,10,x,x,x,,,15,x,x,x,,15,x,x,x,,,15,x,x,x
