Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA5:  Absence1 from school of children who have been looked after continuously for at least twelve months2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA code,,,,2013,,,,,,,,2014,,,,,,,,2015,,,,,,,,2016,,,,,,
,,,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6
,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000016,370,Barnsley,,65,,3.6,2.8,0.8,,x,,80,,3.0,2.2,0.7,,x,,80,,3.8,3.0,0.8,,8.5,,100,,4.1,2.0,2.1,,x
E08000032,380,Bradford,,395,,3.8,2.9,0.9,,8.4,,385,,4.1,2.6,1.4,,11.9,,410,,4.0,2.8,1.2,,8.8,,395,,4.0,2.7,1.3,,9.8
E08000033,381,Calderdale,,175,,3.4,2.7,0.7,,7.5,,185,,2.6,2.4,0.2,,4.8,,175,,2.7,2.2,0.5,,4.6,,160,,2.5,2.0,0.6,,5.0
E08000017,371,Doncaster,,175,,3.8,3.1,0.7,,8.0,,210,,3.3,2.7,0.7,,6.7,,230,,3.2,2.5,0.7,,7.0,,240,,2.9,2.2,0.7,,9.1
E06000011,811,East Riding of Yorkshire,,130,,4.3,3.1,1.2,,10.9,,125,,3.1,2.8,0.3,,x,,135,,4.5,3.6,0.9,,10.5,,125,,3.4,2.4,0.9,,10.5
E06000010,810,Kingston Upon Hull,,285,,3.6,2.4,1.1,,8.8,,295,,2.7,2.1,0.7,,6.5,,290,,2.8,2.0,0.8,,3.8,,295,,2.7,2.0,0.7,,7.1
E08000034,382,Kirklees,,270,,3.3,2.9,0.4,,8.2,,285,,4.0,3.3,0.8,,9.4,,300,,3.7,3.0,0.7,,8.4,,295,,3.8,2.9,0.9,,8.8
E08000035,383,Leeds,,630,,4.5,2.9,1.6,,10.2,,605,,4.1,2.2,1.9,,8.8,,625,,4.2,2.7,1.5,,9.6,,600,,3.6,2.4,1.2,,8.2
E06000012,812,North East Lincolnshire,,45,,2.2,1.9,0.3,,x,,65,,2.2,1.5,0.6,,x,,90,,2.1,1.8,0.3,,x,,100,,2.8,2.0,0.9,,x
E06000013,813,North Lincolnshire,,70,,2.3,2.0,0.2,,x,,70,,3.0,2.4,0.6,,x,,90,,2.7,2.3,0.4,,x,,90,,2.3,2.0,0.3,,x
E10000023,815,North Yorkshire,,215,,4.1,3.6,0.5,,11.2,,225,,3.8,3.4,0.4,,8.0,,205,,3.7,2.8,0.9,,8.3,,170,,3.7,3.3,0.5,,7.6
E08000018,372,Rotherham,,170,,4.2,2.9,1.3,,10.5,,190,,3.7,2.6,1.1,,6.4,,190,,5.0,3.7,1.3,,11.7,,180,,4.1,3.2,0.9,,12.2
E08000019,373,Sheffield,,215,,5.2,3.9,1.4,,14.5,,225,,4.4,3.1,1.3,,9.9,,230,,4.8,3.5,1.3,,12.5,,235,,4.8,3.0,1.8,,12.0
E08000036,384,Wakefield,,180,,4.0,2.8,1.2,,7.2,,180,,3.2,2.5,0.7,,6.6,,205,,3.1,2.6,0.5,,9.4,,215,,3.5,2.7,0.8,,7.0
E06000014,816,York,,125,,4.2,3.6,0.6,,8.9,,115,,4.6,3.9,0.7,,13.2,,90,,2.8,2.4,0.4,,6.5,,85,,3.1,2.6,0.5,,8.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,,"1,890",,4.6,3.5,1.2,,10.3,,"1,980",,3.9,2.9,1.0,,9.2,,"2,020",,4.0,3.0,1.0,,8.2,,"2,130",,4.1,3.0,1.1,,9.6
E06000015,831,Derby,,220,,3.9,3.3,0.6,,9.1,,220,,3.7,2.6,1.1,,9.5,,200,,4.6,3.2,1.4,,10.5,,205,,5.5,3.8,1.8,,14.3
E10000007,830,Derbyshire,,260,,5.9,3.7,2.2,,12.7,,265,,3.8,2.9,0.9,,9.4,,265,,4.3,3.2,1.1,,9.4,,245,,4.4,3.4,1.1,,9.8
E06000016,856,Leicester,,210,,5.0,3.1,1.9,,10.9,,230,,5.2,3.4,1.8,,14.3,,215,,5.2,3.4,1.8,,12.0,,250,,5.9,3.4,2.5,,12.4
