LA Number,,Possible number of Sessions 2007,Authorised absence 2007,Unauthorised absence 2007,Overall absence 2007,Persistent absentees 2007,Possible number of Sessions 2008,Authorised absence 2008,Unauthorised absence 2008,Overall absence 2008,Persistent absentees 2008,Possible number of Sessions 2009,Authorised absence 2009,Unauthorised absence 2009,Overall absence 2009,Persistent absentees 2009,Possible number of Sessions 2010,Authorised absence 2010,Unauthorised absence 2010,Overall absence 2010,Persistent absentees 2010,Possible number of Sessions 2011,Authorised absence 2011,Unauthorised absence 2011,Overall absence 2011,Persistent absentees 2011
888,Lancashire,168697,10267,2756,13023,39,173263,9270,2311,11581,35,163211,7476,1120,8596,18,164474,6480,1900,8380,19,0,0,0,0,0
889,Blackburn and Darwin,47872,2922,1405,4327,18,45128,2550,960,3510,14,45499,2012,439,2451,x,46462,1490,489,1979,8,0,0,0,0,0
890,Blackpool,34297,1642,790,2432,8,30944,1228,343,1571,x,33817,975,307,1282,x,42095,1486,299,1785,x,0,0,0,0,0
891,Nottinghamshire,63130,3116,1262,4378,12,54874,2258,710,2968,8,59349,2217,473,2690,x,65668,2735,605,3340,x,0,0,0,0,0
892,City of Nottingham,56981,3523,1337,4860,20,55104,2518,909,3427,13,48754,2122,1057,3179,9,51995,1895,404,2299,7,0,0,0,0,0
893,Shropshire,19336,1043,104,1147,x,16458,622,143,765,x,19558,785,219,1004,x,20603,863,294,1157,x,0,0,0,0,0
894,Telford and Wrekin,26228,1832,517,2349,9,28548,1326,831,2157,8,28391,1257,280,1537,x,30713,1129,482,1611,x,0,0,0,0,0
895,Cheshire East,.,.,.,.,.,.,.,.,.,.,41621,2418,728,3146,8,43375,1718,337,2055,x,0,0,0,0,0
896,Cheshire West & Chester,.,.,.,.,.,.,.,.,.,.,43208,1842,317,2159,x,45698,1752,363,2115,x,0,0,0,0,0
908,Cornwall,58234,2792,695,3487,10,57872,2227,915,3142,7,54790,2091,800,2891,6,62481,2094,590,2684,x,0,0,0,0,0
909,Cumbria,72804,4098,1829,5927,21,69714,3412,920,4332,18,65160,2513,868,3381,9,63666,2760,686,3446,7,0,0,0,0,0
916,Gloucestershire,56241,2960,1102,4062,15,56556,2960,884,3844,12,52147,2973,800,3773,17,50108,2726,823,3549,12,0,0,0,0,0
919,Hertfordshire,127080,7650,952,8602,27,126533,6620,1601,8221,24,121241,6756,1249,8005,25,121790,6095,1473,7568,25,0,0,0,0,0
921,Isle of Wight,28216,1853,676,2529,9,24492,1582,424,2006,7,28299,1517,838,2355,9,25331,1628,929,2557,11,0,0,0,0,0
925,Lincolnshire,75456,3831,426,4257,9,74195,3158,597,3755,13,75011,3861,440,4301,9,73234,3422,415,3837,8,0,0,0,0,0
926,Norfolk,122816,6902,1135,8037,25,123338,6657,814,7471,23,117212,5597,1385,6982,16,114068,5635,1318,6953,15,0,0,0,0,0
928,Northamptonshire,65749,4508,1148,5656,22,69444,4189,966,5155,20,63608,2865,1145,4010,17,72914,3015,906,3921,11,0,0,0,0,0
929,Northumberland,45912,3074,1358,4432,19,41702,2528,577,3105,12,37549,1770,576,2346,10,37976,1832,678,2510,10,0,0,0,0,0
931,Oxfordshire,50953,3253,1092,4345,18,48076,2155,916,3071,9,50382,2631,1202,3833,16,48948,2163,1113,3276,8,0,0,0,0,0
933,Somerset,47392,3589,802,4391,17,47855,3509,810,4319,17,42422,2955,755,3710,16,38261,2407,1329,3736,15,0,0,0,0,0
935,Suffolk,89274,5062,911,5973,16,93739,4229,621,4850,15,93447,4254,1191,5445,13,90342,3824,1646,5470,13,0,0,0,0,0
936,Surrey,88850,4954,1958,6912,23,87164,4281,1609,5890,18,89315,4926,1935,6861,27,81837,4583,1907,6490,27,0,0,0,0,0
937,Warwickshire,63087,3949,542,4491,15,66750,3318,678,3996,11,69772,3604,490,4094,12,75190,3889,574,4463,11,0,0,0,0,0
938,West Sussex,82422,3783,884,4667,13,84205,4062,1595,5657,20,89236,4138,1468,5606,19,86764,4027,790,4817,15,0,0,0,0,0
