LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2017,CLA_2017,CLA_stp2017,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_RPC_All_Place,CLA_RPC_CARPL,CLA_RPC_CLOSE,CLA_RPC_ALLEG,CLA_RPC_STAND,CLA_RPC_APPRR,CLA_RPC_CREQB,CLA_RPC_CREQO,CLA_RPC_CHILD,CLA_RPC_LAREQ,CLA_RPC_PLACE,CLA_RPC_OTHER
28,E08000012,LA,341,Liverpool,1121,1453,42,595,526,60,189,252,425,195,888,92,30,62,20,29,793,20,164,48,88,8,0,0,195,711,0,52,163,0,0,28,508,x,x,384,55,164,0,645,476,626,389,0,79,19,8,837,645,192,x,680,161,x,x,15,0,73,x,17,0,33,372
34,E08000013,LA,342,St. Helens,427,541,0,242,185,18,66,116,154,73,404,13,x,x,x,6,313,x,45,19,41,x,0,0,54,299,0,33,41,0,0,x,216,x,x,146,15,45,0,226,201,226,156,0,x,0,x,396,226,170,x,291,81,0,x,x,x,24,8,x,0,77,91
33,E08000014,LA,343,Sefton,454,619,0,246,208,18,75,101,159,101,428,13,x,0,x,0,294,9,84,20,42,x,0,x,68,317,0,x,43,0,x,x,228,x,x,105,32,84,x,296,158,293,123,x,33,x,x,533,296,237,79,276,95,0,x,11,0,34,20,22,x,60,31
40,E08000015,LA,344,Wirral,767,1010,x,411,356,45,130,187,286,119,721,28,7,x,x,x,569,16,92,15,68,x,x,0,160,488,0,42,77,0,0,x,507,x,x,135,29,92,0,614,153,612,84,x,65,0,x,798,614,184,31,436,79,x,x,x,0,34,30,x,0,95,186
20,E08000001,LA,350,Bolton,579,760,x,313,266,37,114,137,214,77,497,37,11,23,x,x,416,24,75,x,52,x,x,0,82,385,0,43,69,0,0,8,408,30,x,51,x,75,0,449,130,436,104,x,26,x,0,646,449,197,67,304,6,0,0,x,0,x,x,8,0,38,246
21,E08000002,LA,351,Bury,350,454,15,202,148,21,60,81,120,68,270,35,18,x,x,14,225,9,60,9,42,x,0,x,46,227,0,18,59,0,0,12,194,x,x,75,13,60,x,225,125,219,91,x,25,x,9,389,225,164,39,189,43,x,0,6,0,39,11,14,x,28,44
29,E08000003,LA,352,Manchester,1165,1694,x,649,516,49,100,282,497,237,683,221,69,157,31,x,884,29,116,54,59,x,x,0,131,830,0,53,146,x,x,45,435,x,x,528,72,116,0,505,660,481,526,x,109,x,25,789,505,284,x,810,161,x,12,12,x,99,54,26,23,76,343
30,E08000004,LA,353,Oldham,493,627,x,253,240,30,99,118,176,70,358,62,35,25,7,6,334,26,81,x,42,x,0,0,88,326,0,44,35,0,0,7,305,x,x,84,15,81,0,316,177,313,140,x,33,x,x,491,316,175,x,390,321,x,0,0,0,x,9,14,x,0,36
31,E08000005,LA,354,Rochdale,458,611,0,259,199,26,72,103,186,71,366,50,31,x,x,0,325,27,54,x,33,x,0,0,46,338,0,44,27,x,x,8,267,x,x,93,29,54,0,297,161,290,113,0,47,x,x,557,297,260,99,210,74,x,x,0,x,32,9,9,x,45,28
32,E08000006,LA,355,Salford,519,745,30,295,224,19,83,122,202,93,428,27,7,27,21,9,352,x,83,8,63,0,0,x,34,418,0,15,52,0,0,9,306,16,x,95,13,83,x,307,212,303,178,x,26,x,8,417,307,110,x,350,133,x,9,10,x,40,13,26,x,31,80
35,E08000007,LA,356,Stockport,331,442,x,188,143,17,55,68,130,61,268,31,x,12,x,9,216,x,60,0,35,x,0,8,59,193,0,x,67,x,0,8,198,9,x,47,x,60,8,234,97,228,60,x,33,x,x,497,234,263,166,305,82,x,0,x,0,17,6,6,0,x,188
36,E08000008,LA,357,Tameside,516,643,0,286,230,23,71,113,204,105,454,x,20,17,x,13,362,13,53,x,82,x,0,0,92,332,0,x,71,0,x,x,277,x,x,162,17,53,0,324,192,323,142,x,45,0,x,563,324,239,47,249,59,10,6,8,x,49,20,10,x,35,50
37,E08000009,LA,358,Trafford,385,463,0,212,173,12,53,94,158,68,297,42,12,30,x,x,266,x,55,18,38,x,x,0,56,252,0,x,67,x,x,8,215,x,x,97,11,55,0,220,165,213,135,x,26,x,x,364,220,144,x,201,25,x,11,10,0,24,10,11,x,20,85
39,E08000010,LA,359,Wigan,446,621,0,244,202,26,51,121,182,66,390,25,x,x,20,6,323,20,58,14,28,x,0,x,70,309,0,34,x,0,x,x,284,9,x,75,18,58,x,336,110,331,84,x,24,x,x,584,336,248,138,294,75,x,8,6,x,58,18,19,0,36,68
43,E08000016,LA,370,Barnsley,289,407,x,160,129,24,53,65,111,36,270,10,0,0,x,x,210,32,18,x,21,x,0,x,61,137,0,69,22,0,0,x,150,6,x,90,23,18,x,198,91,195,51,x,39,x,x,342,198,144,53,175,80,0,x,x,0,26,6,x,x,18,37
46,E08000017,LA,371,Doncaster,510,690,x,278,232,33,61,91,213,112,459,31,6,x,9,x,394,16,14,x,74,x,x,0,74,300,0,33,103,0,0,x,0,8,0,234,254,14,0,317,193,305,108,7,79,x,x,505,317,188,x,330,55,x,0,x,x,77,22,15,x,64,86
54,E08000018,LA,372,Rotherham,487,684,37,252,235,35,60,99,198,95,400,53,14,x,x,6,371,16,24,12,60,x,0,x,150,254,0,x,42,0,x,x,245,x,x,175,37,24,x,259,228,253,137,x,88,x,x,381,259,122,x,574,561,x,x,0,0,9,0,x,0,0,0
55,E08000019,LA,373,Sheffield,584,829,0,312,272,38,65,95,230,156,416,79,23,30,24,12,417,27,16,36,79,9,0,0,111,285,0,x,122,0,x,30,302,x,x,187,65,16,0,346,238,325,127,x,99,18,x,485,346,139,x,482,180,0,x,x,9,53,21,27,23,26,138
44,E08000032,LA,380,Bradford,927,1196,0,494,433,58,134,197,366,172,632,138,92,20,17,28,634,20,112,46,106,x,x,0,137,639,x,x,105,0,x,16,664,10,7,108,26,112,0,724,203,697,96,x,102,24,x,957,724,233,30,621,328,x,x,x,9,63,40,40,7,16,106
