time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2022,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,890,28
2022,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,80,3
2022,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1290,40
2022,Reporting year,National,E92000001,England,Residential placements,Distance not Known or not recorded,40,1
2022,Reporting year,National,E92000001,England,Residential placements,Total,3190,100
2022,Reporting year,National,E92000001,England,Residential schools,1.i 20 miles or less inside LA boundary,10,16
2022,Reporting year,National,E92000001,England,Residential schools,1.ii 20 miles or less outside LA boundary,20,22
2022,Reporting year,National,E92000001,England,Residential schools,2.i Over 20 miles inside LA boundary,c,c
2022,Reporting year,National,E92000001,England,Residential schools,2.ii Over 20 miles outside LA boundary,40,55
2022,Reporting year,National,E92000001,England,Residential schools,Distance not Known or not recorded,c,c
