time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,move_measure,school_stability,number,percentage
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CLA on 31 March,Mid-year moves,Total children,575,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA on 31 March,Any moves,At least one move,57,13
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA on 31 March,Any moves,Total children,436,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA on 31 March,Mid-year moves,At least one mid-year move,35,8
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA on 31 March,Mid-year moves,Total children,436,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA on 31 March,Any moves,At least one move,115,9
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA on 31 March,Any moves,Total children,1280,100
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA on 31 March,Mid-year moves,At least one mid-year move,66,5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA on 31 March,Mid-year moves,Total children,1280,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA on 31 March,Any moves,At least one move,80,14
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA on 31 March,Any moves,Total children,582,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA on 31 March,Mid-year moves,At least one mid-year move,62,11
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA on 31 March,Mid-year moves,Total children,582,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA on 31 March,Any moves,At least one move,29,14
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA on 31 March,Any moves,Total children,206,100
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA on 31 March,Mid-year moves,At least one mid-year move,21,10
