New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E06000043,LA,846,Brighton and Hove,179,58,95,84,22,56,20,23,58,11,27,0,x,65,x,10,x,0,0,6,x,45
E10000014,LA,850,Hampshire,426,167,230,196,36,89,60,74,167,26,30,0,x,148,26,27,12,43,62,29,10,12
E06000044,LA,851,Portsmouth,148,45,80,68,16,44,21,22,45,20,6,0,x,37,7,9,18,10,x,x,6,30
E06000045,LA,852,Southampton,184,50,101,83,9,56,38,31,50,0,30,0,x,52,27,x,14,x,x,x,6,45
E10000018,LA,855,Leicestershire,240,78,130,110,25,71,27,39,78,24,24,0,x,78,15,13,17,20,10,x,x,32
E06000016,LA,856,Leicester,198,69,96,102,10,69,20,30,69,30,10,x,x,41,11,18,7,23,x,x,13,38
E06000017,LA,857,Rutland,17,7,8,9,x,0,x,x,7,0,0,0,0,6,0,x,x,x,x,x,0,0
E10000028,LA,860,Staffordshire,364,134,201,163,34,118,52,26,134,61,26,0,x,83,24,36,15,13,68,x,6,24
E06000021,LA,861,Stoke-on-Trent,173,63,94,79,13,54,19,24,63,21,7,0,x,39,8,30,x,x,x,0,0,62
E06000054,LA,865,Wiltshire,220,59,120,100,21,74,36,30,59,x,36,x,x,68,9,24,8,19,x,x,0,46
E06000030,LA,866,Swindon,133,53,76,57,12,29,8,31,53,12,x,0,0,48,6,x,x,x,0,x,x,51
E06000036,LA,867,Bracknell Forest,48,10,21,27,11,12,7,8,10,10,0,0,0,25,x,x,x,x,0,0,0,x
E06000040,LA,868,Windsor and Maidenhead,47,13,27,20,x,10,15,8,13,x,11,0,0,12,8,x,0,x,0,x,0,x
E06000037,LA,869,West Berkshire,68,25,42,26,x,18,8,12,25,x,x,0,0,31,0,8,x,0,x,15,0,x
E06000038,LA,870,Reading,95,21,51,44,6,26,20,22,21,9,17,0,x,28,x,12,x,0,0,x,0,16
E06000039,LA,871,Slough,104,33,55,49,7,35,16,13,33,11,6,0,0,33,7,6,10,x,x,0,x,21
E06000041,LA,872,Wokingham,35,15,20,15,x,8,7,x,15,x,0,0,0,8,x,x,6,0,x,x,0,11
E10000003,LA,873,Cambridgeshire,212,91,116,96,15,44,25,37,91,28,x,x,0,83,16,x,8,26,x,x,x,34
E06000031,LA,874,Peterborough,150,58,82,68,17,47,14,14,58,20,7,0,x,29,14,x,13,20,11,6,6,18
E06000006,LA,876,Halton,60,18,34,26,x,17,6,17,18,x,x,0,0,26,x,8,x,7,x,0,x,x
E06000007,LA,877,Warrington,87,25,41,46,7,24,15,16,25,x,21,0,0,x,x,6,x,0,0,0,x,53
E10000008,LA,878,Devon,351,141,179,172,30,78,48,54,141,15,27,x,x,141,16,15,12,51,7,13,0,50
E06000026,LA,879,Plymouth,185,62,99,86,17,51,36,19,62,27,13,0,0,61,7,9,13,x,x,x,0,45
E06000027,LA,880,Torbay,155,32,74,81,15,52,28,28,32,16,10,0,x,76,9,7,9,15,x,0,0,8
E10000012,LA,881,Essex,500,204,259,241,25,135,75,61,204,74,38,x,x,151,21,16,14,136,22,8,8,10
E06000033,LA,882,Southend-on-Sea,106,25,57,49,11,31,16,23,25,x,20,0,0,42,11,x,x,11,x,0,x,x
E06000034,LA,883,Thurrock,106,40,55,51,7,24,18,17,40,6,6,0,0,47,x,x,8,x,x,6,x,19
E06000019,LA,884,Herefordshire,98,30,52,46,7,32,15,14,30,x,12,0,0,32,15,9,0,15,x,x,x,x
E10000034,LA,885,Worcestershire,278,127,148,130,20,67,31,33,127,27,14,0,x,70,15,26,8,16,10,7,6,75
E10000016,LA,886,Kent,857,351,500,357,66,228,99,113,351,118,27,0,8,303,51,18,35,139,100,11,12,35
E06000035,LA,887,Medway,180,56,101,79,12,54,35,23,56,27,16,0,0,63,x,8,6,20,x,x,x,28
E10000017,LA,888,Lancashire,540,176,284,256,39,180,70,75,176,50,33,x,x,129,56,45,47,47,31,15,x,79
E06000008,LA,889,Blackburn with Darwen,127,24,69,58,10,50,24,19,24,18,25,x,0,26,13,x,8,x,0,0,0,27
E06000009,LA,890,Blackpool,205,49,123,82,14,70,41,31,49,12,29,0,x,63,13,35,7,15,17,0,x,7
E10000024,LA,891,Nottinghamshire,429,125,227,202,34,143,69,58,125,23,65,0,x,128,26,67,13,26,29,15,8,28
E06000018,LA,892,Nottingham,249,72,138,111,24,68,34,51,72,29,14,x,x,90,0,26,18,19,7,x,7,34
E06000051,LA,893,Shropshire,90,44,44,46,6,18,8,14,44,16,0,0,x,29,x,x,0,33,x,0,0,6
E06000020,LA,894,Telford and Wrekin,122,41,54,68,10,36,10,25,41,x,18,0,0,38,7,x,x,29,0,6,x,11
E06000049,LA,895,Cheshire East,178,51,89,89,14,52,30,31,51,28,x,x,0,43,13,22,10,9,x,0,x,40
E06000050,LA,896,Cheshire West and Chester,126,37,66,60,8,33,22,26,37,13,8,x,x,34,6,11,x,15,x,x,x,24
E06000052,LA,908,Cornwall,289,79,163,126,32,80,48,50,79,x,44,0,x,124,22,x,19,27,x,x,0,39
E10000006,LA,909,Cumbria,198,71,97,101,16,48,27,36,71,16,9,0,0,38,21,6,19,17,x,6,8,57
E10000013,LA,916,Gloucestershire,275,90,155,120,18,82,44,41,90,30,19,0,x,67,16,30,22,14,7,6,6,57
E10000015,LA,919,Hertfordshire,520,181,274,246,31,140,86,82,181,58,29,0,0,138,49,29,51,57,31,x,x,68
E06000046,LA,921,Isle of Wight,92,38,47,45,7,18,12,17,38,x,x,0,x,28,9,11,x,x,x,0,x,26
E10000019,LA,925,Lincolnshire,277,62,148,129,33,96,41,45,62,15,53,x,x,76,20,11,29,34,x,x,x,30
E10000020,LA,926,Norfolk,464,202,233,231,41,131,32,58,202,11,71,x,x,121,45,6,31,141,18,11,x,x
E10000021,LA,928,Northamptonshire,369,141,213,156,23,96,52,57,141,9,48,x,0,123,18,31,x,17,11,x,x,99
E06000048,LA,929,Northumberland,156,38,75,81,10,59,23,26,38,23,0,0,x,52,14,14,21,17,8,x,0,x
E10000025,LA,931,Oxfordshire,261,88,144,117,15,74,36,48,88,24,20,x,x,89,9,19,14,11,9,7,x,55
E10000027,LA,933,Somerset,300,92,146,154,34,81,35,58,92,32,16,x,0,104,16,x,x,28,8,12,0,72
E10000029,LA,935,Suffolk,320,83,182,138,31,115,45,46,83,50,43,x,0,65,15,20,17,42,x,8,x,53
E10000030,LA,936,Surrey,420,144,219,201,33,116,67,60,144,x,56,x,x,110,31,32,34,40,14,30,x,62
E10000031,LA,937,Warwickshire,334,114,194,140,24,95,50,51,114,21,35,0,0,119,10,31,15,34,49,x,x,14
E10000032,LA,938,West Sussex,379,136,207,172,28,109,40,66,136,25,25,0,x,155,15,15,21,31,x,x,x,77
