"Table LA9:  Exclusions from school of children who have been looked after continuously for at least 12 months1,2,3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,
,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion
,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford Borough,90-99,, 65 ,,x,17.46,,100,, 60 ,,0.00,18.03,,90-99,,65,,x,17.19,,90-99,,80,,x,7.41
Central Bedfordshire,100,, 65 ,,0.00,15.15,,100,, 70 ,,x,17.14,,100,,65,,x,17.91,,100,,80,,0.00,8.75
Cambridgeshire,90-99,, 200 ,,x,13.00,,90-99,, 200 ,,0.00,13.07,,90-99,,195,,0.00,11.17,,90-99,,215,,0.00,9.26
Essex,90-99,, 650 ,,x,11.09,,90-99,, 680 ,,0.00,12.19,,90-99,,635,,0.00,12.13,,90-99,,620,,0.00,11.15
Hertfordshire,90-99,, 450 ,,x,19.15,,90-99,, 450 ,,0.00,14.38,,100,,430,,0.00,14.49,,100,,395,,0.00,14.36
Luton,90-99,, 180 ,,0.00,13.41,,100,, 175 ,,0.00,13.64,,90-99,,180,,0.00,11.24,,90-99,,170,,0.00,9.52
Norfolk,100,, 415 ,,0.00,11.38,,100,, 415 ,,x,7.93,,90-99,,415,,x,8.67,,90-99,,430,,x,9.49
Peterborough,100,, 155 ,,x,10.83,,100,, 135 ,,0.00,9.70,,100,,120,,0.00,11.86,,90-99,,125,,0.00,11.81
Southend,100,, 135 ,,0.00,15.79,,90-99,, 125 ,,x,14.40,,100,,130,,0.00,13.74,,100,,120,,0.00,10.74
Suffolk,90-99,, 330 ,,0.00,10.57,,90-99,, 325 ,,0.00,8.26,,90-99,,335,,x,11.31,,90-99,,320,,0.00,8.10
Thurrock,100,, 90 ,,x,15.73,,100,, 85 ,,x,10.59,,100,,85,,0.00,10.59,,90-99,,100,,0.00,9.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON,.,," 4,120 ",,0.41,13.55,,.,," 4,070 ",,0.32,12.88,,.,," 3,830 ",,0.21,12.40,,.,," 3,790 ",,x,9.99
INNER LONDON,.,," 1,940 ",,0.72,15.12,,.,," 1,870 ",,0.38,13.83,,.,," 1,750 ",,x,12.88,,.,," 1,720 ",,x,10.67
Camden,90-99,, 100 ,,x,7.07,,90-99,, 85 ,,0.00,17.24,,100,,90,,0.00,16.30,,90-99,,90,,0.00,11.11
City of London,100,, x ,,0.00,0.00,,100,, x ,,0.00,0.00,,100,,x,,0.00,0.00,,100,,x,,0.00,0.00
Hackney,90-99,, 135 ,,x,16.79,,90-99,, 120 ,,x,18.33,,90-99,,110,,0.00,15.32,,90-99,,120,,0.00,11.67
Hammersmith & Fulham,90-99,, 110 ,,x,13.51,,90-99,, 90 ,,0.00,15.56,,90-99,,85,,0.00,16.09,,<90,,75,,0.00,13.51
Haringey,90-99,, 210 ,,x,16.35,,90-99,, 235 ,,0.00,12.71,,90-99,,250,,x,8.06,,90-99,,255,,0.00,7.09
Islington,100,, 135 ,,0.00,12.69,,100,, 120 ,,x,14.88,,100,,110,,0.00,19.27,,100,,110,,0.00,12.73
Kensington and Chelsea,100,, 65 ,,x,13.85,,100,, 50 ,,0.00,11.54,,100,,45,,0.00,x,,90-99,,35,,0.00,x
Lambeth,90-99,, 215 ,,x,17.51,,90-99,, 215 ,,x,13.95,,100,,175,,0.00,9.25,,100,,175,,0.00,9.09
Lewisham,90-99,, 210 ,,0.00,14.42,,90-99,, 220 ,,x,18.35,,90-99,,205,,0.00,12.32,,90-99,,210,,0.00,11.06
Newham,90-99,, 240 ,,x,15.29,,90-99,, 210 ,,0.00,10.85,,100,,190,,0.00,12.70,,90-99,,170,,0.00,9.47
