New_geog_code,geog_l,geog_c,geog_n,CLA_started2013,CLA_taken2013,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,,,,,,,,,
E06000002,LA,806,Middlesbrough,191,50,93,98,47,54,38,40,12,71,0,x,13,100,x,0,x,19,x,0,141,29,0,0,0,0,0,,,,,,,,,
E06000003,LA,807,Redcar and Cleveland,65,28,32,33,21,19,11,13,x,13,0,x,21,26,0,0,0,19,0,x,34,7,x,0,x,0,0,,,,,,,,,
E06000004,LA,808,Stockton-on-Tees,188,60,104,84,43,56,35,46,8,130,x,8,18,17,12,0,x,38,x,0,121,17,x,0,7,0,0,,,,,,,,,
E06000010,LA,810,"Kingston Upon Hull, City of",201,46,120,81,44,43,36,66,12,134,x,x,12,42,x,x,x,37,0,0,149,6,x,0,6,0,0,,,,,,,,,
E06000011,LA,811,East Riding of Yorkshire,142,59,75,67,36,34,19,45,8,74,x,x,10,47,x,0,x,21,x,0,83,32,x,0,0,0,0,,,,,,,,,
E06000012,LA,812,North East Lincolnshire,117,61,66,51,31,27,18,33,8,75,x,11,x,14,10,0,x,47,x,0,45,8,x,0,11,0,0,,,,,,,,,
E06000013,LA,813,North Lincolnshire,66,18,36,30,18,18,9,15,6,30,x,x,x,23,x,0,x,14,0,0,42,x,0,0,6,0,0,,,,,,,,,
E10000023,LA,815,North Yorkshire,189,72,94,95,35,40,29,62,23,119,10,x,20,27,x,0,8,58,x,0,114,8,x,0,x,0,0,,,,,,,,,
E06000014,LA,816,York,63,23,34,29,8,10,12,23,10,39,x,x,x,9,6,0,0,16,0,0,37,x,6,0,x,0,0,,,,,,,,,
E06000032,LA,821,Luton,142,54,72,70,27,25,27,39,24,93,x,x,x,30,x,0,7,32,x,0,88,8,9,0,0,0,0,,,,,,,,,
E06000055,LA,822,Bedford,135,54,58,77,29,30,22,42,12,93,x,0,15,15,x,0,x,47,0,0,81,6,x,0,0,0,0,,,,,,,,,
E06000056,LA,823,Central Bedfordshire,125,47,59,66,29,38,26,22,10,105,x,x,x,7,x,0,x,36,x,x,77,6,x,0,0,0,0,,,,,,,,,
E10000002,LA,825,Buckinghamshire,129,55,72,57,22,32,22,41,12,34,6,x,10,65,7,0,x,34,x,0,73,15,x,0,x,0,0,,,,,,,,,
E06000042,LA,826,Milton Keynes,121,32,68,53,23,24,17,35,22,23,10,14,31,33,x,x,x,22,0,0,85,x,7,0,x,0,0,,,,,,,,,
E10000007,LA,830,Derbyshire,267,95,137,130,62,58,49,50,48,135,9,18,26,60,x,0,16,70,14,0,171,7,x,0,x,0,0,,,,,,,,,
E06000015,LA,831,Derby,153,64,88,65,44,29,30,41,9,100,8,11,x,11,9,0,10,39,x,0,83,12,11,0,x,x,0,,,,,,,,,
E10000009,LA,835,Dorset,174,26,89,85,24,33,29,64,24,88,x,8,18,40,12,0,x,15,0,0,142,8,x,0,x,0,x,,,,,,,,,
E06000029,LA,836,Poole,67,24,39,28,8,21,9,21,8,44,x,0,8,11,x,0,x,11,0,0,39,13,0,0,x,0,0,,,,,,,,,
E06000028,LA,837,Bournemouth,161,44,87,74,36,37,30,35,23,49,x,x,23,76,x,0,x,18,x,0,116,18,7,0,x,0,0,,,,,,,,,
E06000047,LA,840,Durham,280,68,153,127,75,64,48,78,15,215,7,0,22,13,13,0,10,35,0,0,205,33,0,0,7,0,0,,,,,,,,,
E06000005,LA,841,Darlington,85,14,41,44,33,15,11,25,x,50,0,x,x,29,x,0,x,10,0,0,71,x,0,0,0,0,0,,,,,,,,,
E10000011,LA,845,East Sussex,176,84,104,72,52,31,45,39,9,99,8,x,23,38,x,0,x,73,6,0,91,x,x,0,x,0,0,,,,,,,,,
