Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration 
E10000003,Cambridgeshire,11426.31,129,13.858,132,0.0107,112,0.0471,127,26115.09,126
E10000006,Cumbria,16650.35,86,21.261,83,0.0810,68,0.1636,83,30886.59,61
E10000007,Derbyshire,14795.12,103,18.392,102,0.0448,88,0.1303,97,29283.75,90
E10000008,Devon,14246.53,110,16.607,114,0.0066,124,0.0467,128,26080.41,127
E10000011,East Sussex,15657.97,93,19.770,91,0.0669,73,0.1445,92,30258.89,71
E10000012,Essex,13696.88,114,17.016,111,0.0344,93,0.0926,107,28660.47,103
E10000013,Gloucestershire,11987.84,126,14.932,124,0.0322,96,0.0772,114,28222.82,108
E10000014,Hampshire,10118.82,136,12.693,135,0.0084,118,0.0493,126,26318.37,122
E10000015,Hertfordshire,10544.87,135,12.732,134,0.0014,129,0.0238,140,24289.41,139
E10000016,Kent,15481.83,95,19.538,93,0.0565,79,0.1401,93,30159.63,74
E10000017,Lancashire,17208.01,78,23.443,70,0.1508,47,0.2447,63,31700.38,42
E10000018,Leicestershire,10048.95,137,12.330,136,0.0101,114,0.0247,139,24442.44,138
E10000019,Lincolnshire,16014.54,91,20.290,89,0.0690,72,0.1463,91,30406.19,69
E10000020,Norfolk,16963.01,81,21.183,84,0.0743,71,0.1504,90,30492.04,66
E10000021,Northamptonshire,14560.15,104,18.605,99,0.0569,78,0.1511,89,29915.84,77
E10000023,North Yorkshire,11980.56,127,14.762,125,0.0295,99,0.0581,121,27285.00,118
E10000024,Nottinghamshire,14839.67,101,18.999,94,0.0624,74,0.1530,88,30025.09,75
E10000025,Oxfordshire,9235.93,142,11.656,142,0.0025,128,0.0392,133,25200.76,134
E10000027,Somerset,15680.96,92,18.553,100,0.0275,100,0.0847,112,28301.72,107
E10000028,Staffordshire,13616.36,115,16.567,115,0.0208,105,0.0907,108,27841.87,111
E10000029,Suffolk,14990.69,99,18.460,101,0.0499,85,0.1107,106,29444.04,83
E10000030,Surrey,7935.96,147,10.087,145,0.0000,130,0.0082,143,21921.61,142
E10000031,Warwickshire,12848.10,119,15.640,121,0.0177,108,0.0664,119,27459.27,114
E10000032,West Sussex,12043.61,125,14.429,129,0.0099,115,0.0425,130,25770.38,130
E10000034,Worcestershire,14401.88,105,18.089,105,0.0495,86,0.1265,98,29616.64,81
