time_period,time_identifier,geographic_level,country_code,country_name,missing_status,breakdown,number
2022,Reporting year,National,E92000001,England,Children missing from placement,Children missing more than once during the year,7780
2022,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March,200
2022,Reporting year,National,E92000001,England,Children missing from placement,Children missing on 31 March who were unaccompanied asylum-seeking children,80
2022,Reporting year,National,E92000001,England,Children missing from placement,Percentage of children looked after during the year who were missing,11
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,African,680
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Asian background,320
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Black background,230
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other Mixed background,450
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Any other White background,470
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Bangladeshi,70
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Caribbean,330
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Chinese,10
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Gypsy Roma,80
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Indian,30
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Information not yet obtained,10
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Pakistani,120
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Refused,c
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Asian or Asian British,550
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,"Total Black, African, Caribbean or Black British",1240
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total children who were missing during the year,12180
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total Mixed or Multiple ethnic groups,1330
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total other ethnic group,650
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total refused or information not yet available,20
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Total White,8400
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,Traveller of Irish Heritage,30
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Asian,230
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black African,150
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White and Black Caribbean,500
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White British,7790
2022,Reporting year,National,E92000001,England,Children missing from placement by ethnic origin,White Irish,20
2022,Reporting year,National,E92000001,England,Children missing from placement by sex,Females,5430
2022,Reporting year,National,E92000001,England,Children missing from placement by sex,Males,6750
2022,Reporting year,National,E92000001,England,Children missing from placement by sex,Total children who were missing during the year,12180
2022,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 1 and 2 days,42980
2022,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 11 and 15 days,370
2022,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 16 and 20 days,180
2022,Reporting year,National,E92000001,England,Durations of missing from placement periods,Between 21 and 30 days,160
