time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2022,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,4: Secure homes and children's homes,2100
2022,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,5: Independent and semi-independent living arrangements/ supported accommodation,5280
2022,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,6: Other placements,140
2022,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Total incidents,8900
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,c
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,2330
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,8070
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,10
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,10420
2021,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,c
2021,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total number of away from placement without authorisation incidents during the year,10420
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,108100
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,2.5
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,4
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,1400
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation on 31 March,30
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away without authorisation from placement on 31 March who were unaccompanied asylum-seeking children,c
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,2
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,African,220
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Asian background,70
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Black background,90
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Mixed background,110
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other White background,130
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Bangladeshi,20
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Caribbean,150
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Chinese,c
