New_geog_code,geog_l,geog_c,geog_n,CLA_started2011,CLA_taken2011,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E06000022,LA,800,Bath and North East Somerset,56,14,31,25,8,7,10,20,11,11,x,x,9,25,x,0,x,9,0,0,40,x,x,0,x,0,0
E06000023,LA,801,"Bristol, City of",268,96,137,131,51,45,43,79,50,142,9,11,11,68,16,x,9,58,x,x,166,25,9,x,x,0,0
E06000024,LA,802,North Somerset,113,25,59,54,17,18,25,44,9,44,x,x,43,16,x,0,x,11,x,0,86,12,x,0,x,0,0
E06000025,LA,803,South Gloucestershire,126,35,62,64,17,18,19,37,35,58,7,0,22,18,x,0,17,27,x,0,91,x,0,0,0,0,0
E06000001,LA,805,Hartlepool,71,17,35,36,18,13,11,23,6,32,0,x,14,19,0,0,x,11,0,0,54,x,x,0,0,0,0
E06000002,LA,806,Middlesbrough,171,45,87,84,22,50,35,57,7,92,x,x,21,51,x,0,0,25,0,0,125,18,x,0,x,0,0
E06000003,LA,807,Redcar and Cleveland,85,35,49,36,24,14,20,23,x,32,x,x,44,7,0,0,0,24,0,0,49,10,0,x,x,0,0
E06000004,LA,808,Stockton-on-Tees,149,28,84,65,30,52,36,28,x,113,x,x,14,11,x,0,x,16,x,0,121,9,x,0,0,0,0
E06000010,LA,810,"Kingston Upon Hull, City of",237,88,128,109,61,59,44,67,6,191,x,9,9,20,x,0,x,63,0,0,149,23,x,0,0,0,0
E06000011,LA,811,East Riding of Yorkshire,126,63,56,70,37,37,14,30,8,90,x,x,8,23,x,0,0,46,0,0,63,14,x,0,0,0,0
E06000012,LA,812,North East Lincolnshire,56,12,35,21,18,12,x,18,x,34,x,x,x,7,9,0,0,7,0,0,33,x,0,0,11,0,0
E06000013,LA,813,North Lincolnshire,105,31,53,52,18,24,22,29,12,52,x,x,x,31,10,0,x,26,0,0,66,x,x,0,8,0,0
E10000023,LA,815,North Yorkshire,211,53,100,110,31,42,40,62,35,102,10,12,36,39,x,0,7,40,x,0,150,x,x,0,7,0,0
E06000014,LA,816,York,80,38,40,40,15,20,13,21,11,47,x,x,12,14,x,0,0,31,0,0,41,x,x,0,x,0,0
E06000032,LA,821,Luton,144,45,63,80,21,21,27,52,22,88,9,7,10,17,x,0,11,28,x,0,98,10,6,0,0,0,0
E06000055,LA,822,Bedford,79,25,41,38,15,16,17,20,11,54,x,0,7,x,x,x,x,18,0,0,53,x,x,0,x,0,0
E06000056,LA,823,Central Bedfordshire,86,26,44,42,13,17,11,31,14,57,x,x,x,12,x,0,9,17,0,0,60,x,6,0,0,0,0
E10000002,LA,825,Buckinghamshire,163,75,93,70,23,39,34,51,16,74,6,x,9,56,x,0,12,41,0,x,85,31,x,0,x,0,0
E06000042,LA,826,Milton Keynes,122,57,63,59,19,24,20,43,16,36,x,25,23,16,11,x,x,40,0,0,62,13,x,x,x,0,0
E10000007,LA,830,Derbyshire,297,93,158,139,60,70,55,81,31,166,9,20,39,50,7,0,6,70,6,x,194,x,13,0,7,x,0
E06000015,LA,831,Derby,183,77,97,86,41,40,32,52,18,117,24,11,6,11,11,0,x,59,x,0,92,15,x,0,13,0,x
E10000009,LA,835,Dorset,132,26,74,58,27,29,21,49,6,67,x,12,16,24,x,0,x,16,0,0,105,7,x,0,x,0,0
E06000029,LA,836,Poole,64,18,36,28,9,12,12,30,x,28,x,x,12,13,x,0,7,7,x,0,45,7,x,0,x,0,0
E06000028,LA,837,Bournemouth,98,23,41,57,27,25,22,17,7,51,7,x,9,19,x,0,x,13,0,0,75,7,x,0,0,0,0
E06000047,LA,840,Durham,245,73,134,110,55,61,49,62,17,163,x,7,16,25,9,0,21,39,x,0,168,30,0,0,x,0,0
E06000005,LA,841,Darlington,111,22,61,50,24,21,20,40,6,69,x,0,x,30,x,0,x,7,0,0,87,14,x,0,x,0,0
E10000011,LA,845,East Sussex,227,119,113,114,55,55,49,65,x,114,10,7,29,51,12,0,x,93,x,0,108,8,16,0,0,0,0
E06000043,LA,846,Brighton and Hove,218,96,116,102,55,40,39,69,15,141,7,x,20,28,x,x,10,56,0,0,121,40,0,0,x,0,0
E10000014,LA,850,Hampshire,432,109,247,185,69,85,69,161,48,122,18,35,64,148,23,x,20,62,0,0,296,38,9,0,26,0,x
E06000044,LA,851,Portsmouth,164,76,93,71,31,53,26,46,8,102,x,6,11,24,6,0,14,39,x,0,86,28,8,0,x,0,0
E06000045,LA,852,Southampton,173,63,101,72,45,47,23,51,7,112,x,8,22,19,x,0,8,39,x,0,104,20,x,0,6,0,0
E10000018,LA,855,Leicestershire,187,43,95,92,30,31,33,57,36,95,x,x,45,18,9,x,13,32,0,0,144,x,6,0,0,0,0
E06000016,LA,856,Leicester,181,83,76,105,42,36,22,56,25,82,x,x,33,45,8,x,x,64,x,0,92,13,x,0,6,0,0
E06000017,LA,857,Rutland,12,x,x,7,x,x,x,x,x,x,0,0,6,x,0,0,0,x,0,0,10,0,0,0,0,0,0
E10000028,LA,860,Staffordshire,299,82,160,139,66,59,36,104,33,144,9,x,59,59,x,x,20,60,0,0,216,13,9,0,0,0,x
E06000021,LA,861,Stoke-on-Trent,163,68,88,75,47,43,30,37,6,107,x,6,7,18,9,0,14,51,0,0,93,13,x,0,x,0,x
E06000054,LA,865,Wiltshire,166,34,87,79,33,32,27,58,16,75,8,10,24,36,x,0,11,14,0,0,131,12,8,0,x,0,0
E06000030,LA,866,Swindon,85,18,41,44,13,9,12,38,13,24,x,8,17,22,6,x,x,10,x,0,61,x,x,0,6,0,0
E06000036,LA,867,Bracknell Forest,41,12,21,20,x,8,x,20,x,16,x,x,x,10,x,0,x,x,x,0,29,6,x,0,0,0,0
E06000040,LA,868,Windsor and Maidenhead,34,7,20,14,9,x,6,12,x,13,x,x,7,6,0,0,x,x,0,0,27,x,x,0,0,0,0
E06000037,LA,869,West Berkshire,50,20,23,27,11,10,x,16,8,30,x,x,7,x,0,0,6,13,x,0,30,6,0,0,0,0,0
E06000038,LA,870,Reading,102,42,57,45,26,30,15,22,9,76,x,x,x,9,x,0,7,32,0,0,59,9,x,0,x,0,0
E06000039,LA,871,Slough,69,17,40,29,12,14,15,21,7,34,6,15,x,x,x,0,10,9,x,0,50,x,x,0,x,x,0
E06000041,LA,872,Wokingham,30,6,20,10,8,x,6,6,x,18,x,0,x,7,0,0,0,6,0,0,24,0,0,0,0,0,0
E10000003,LA,873,Cambridgeshire,179,69,101,78,29,26,28,57,39,101,11,6,10,20,11,0,20,65,x,x,107,x,0,0,x,0,0
E06000031,LA,874,Peterborough,120,46,64,56,29,29,16,37,9,64,x,9,x,24,10,0,10,24,0,0,72,17,x,0,x,0,0
E06000006,LA,876,Halton,54,23,39,15,16,12,13,10,x,26,x,0,x,20,x,0,x,16,0,0,30,x,x,0,x,0,0
E06000007,LA,877,Warrington,97,19,50,47,21,21,28,23,x,73,x,0,10,6,x,0,x,11,0,0,78,8,0,0,0,0,0
E10000008,LA,878,Devon,341,66,182,159,50,61,39,114,77,160,12,17,77,51,x,x,18,26,x,0,275,31,8,0,0,0,0
E06000026,LA,879,Plymouth,165,54,92,73,33,33,20,37,42,70,7,29,7,15,x,27,6,34,0,0,110,13,7,0,x,0,0
E06000027,LA,880,Torbay,109,22,62,47,20,14,18,37,20,74,x,x,7,12,x,0,6,11,0,x,84,10,x,0,x,0,0
