time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CINO at 31 March,State-funded primary,182,67050,5998,8.9,4173,6.2,1825,2.7,59,32.4
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CINO at 31 March,Special,151,55715,6419,11.5,4914,8.8,1505,2.7,48,31.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CINO at 31 March,Pupil referral unit,16,4333,1865,43,994,22.9,871,20.1,16,100
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CINO at 31 March,Total,856,306513,43366,14.1,31123,10.2,12243,4,394,46
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CINO at 31 March,State-funded secondary,301,105713,20090,19,12042,11.4,8048,7.6,180,59.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CINO at 31 March,State-funded primary,290,105499,9878,9.4,7138,6.8,2740,2.6,100,34.5
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CINO at 31 March,Special,265,95301,13398,14.1,11943,12.5,1455,1.5,114,43
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CINO at 31 March,Pupil referral unit,0,z,z,z,z,z,z,z,z,z
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CINO at 31 March,Total,546,194715,32746,16.8,16079,8.3,16667,8.6,249,45.6
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CINO at 31 March,State-funded secondary,182,62262,15922,25.6,6074,9.8,9848,15.8,122,67
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CINO at 31 March,State-funded primary,230,84752,7757,9.2,3688,4.4,4069,4.8,67,29.1
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CINO at 31 March,Special,116,42343,6624,15.6,5002,11.8,1622,3.8,44,37.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CINO at 31 March,Pupil referral unit,18,5358,2443,45.6,1315,24.5,1128,21.1,16,88.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CINO at 31 March,Total,460,165000,20643,12.5,13160,8,7483,4.5,178,38.7
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CINO at 31 March,State-funded secondary,144,50362,9242,18.4,4929,9.8,4313,8.6,74,51.4
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CINO at 31 March,State-funded primary,191,69667,5416,7.8,4349,6.2,1067,1.5,56,29.3
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CINO at 31 March,Special,114,41461,4914,11.9,3369,8.1,1545,3.7,39,34.2
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CINO at 31 March,Pupil referral unit,11,3510,1071,30.5,513,14.6,558,15.9,9,81.8
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CINO at 31 March,Total,758,273364,38514,14.1,20609,7.5,17905,6.5,338,44.6
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CINO at 31 March,State-funded secondary,257,89774,18567,20.7,8429,9.4,10138,11.3,159,61.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CINO at 31 March,State-funded primary,377,139254,12822,9.2,8507,6.1,4315,3.1,126,33.4
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CINO at 31 March,Special,116,42291,6241,14.8,3358,7.9,2883,6.8,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CINO at 31 March,Pupil referral unit,8,2045,884,43.2,315,15.4,569,27.8,c,c
