Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LA5:  Exclusions from school of children who have been looked after continuously for at least twelve months1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010 - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,,,2014,,,,,
,,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion
,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,.,,"2,730",,0.29,13.32,,.,,"2,730",,0.22,11.76,,.,,"2,660",,x,11.98,,.,,"2,680",,x,10.42,,.,,"2,620",,x,10.16
E06000055,822,Bedford Borough,90-99,,65,,x,17.46,,100,,60,,0.00,18.03,,90-99,,65,,x,17.19,,90-99,,80,,x,7.41,,100,,100,,0.00,9.00
E06000056,823,Central Bedfordshire,100,,65,,0.00,15.15,,100,,70,,x,17.14,,100,,65,,x,17.91,,100,,80,,0.00,8.75,,100,,100,,0.00,13.00
E10000003,873,Cambridgeshire,90-99,,200,,x,12.87,,90-99,,200,,0.00,12.94,,90-99,,200,,0.00,11.11,,90-99,,215,,0.00,9.22,,90-99,,215,,0.00,9.30
E10000012,881,Essex,90-99,,650,,x,11.08,,90-99,,680,,0.00,12.19,,90-99,,635,,0.00,12.13,,90-99,,620,,0.00,11.13,,90-99,,535,,0.00,9.16
E10000015,919,Hertfordshire,90-99,,450,,x,19.15,,90-99,,450,,0.00,14.38,,100,,430,,0.00,14.45,,100,,395,,0.00,14.39,,90-99,,385,,0.00,12.24
E06000032,821,Luton,90-99,,180,,0.00,13.41,,100,,175,,0.00,13.56,,90-99,,185,,0.00,10.87,,90-99,,175,,0.00,9.04,,90-99,,180,,0.00,8.29
E10000020,926,Norfolk,100,,415,,0.00,11.38,,100,,415,,x,7.93,,90-99,,415,,x,8.67,,90-99,,435,,x,9.43,,90-99,,460,,x,8.23
E06000031,874,Peterborough,100,,155,,x,11.46,,100,,135,,0.00,9.70,,100,,120,,0.00,11.86,,90-99,,125,,0.00,11.81,,90-99,,130,,0.00,13.18
E06000033,882,Southend,100,,135,,0.00,15.79,,90-99,,125,,x,14.40,,100,,130,,0.00,13.74,,100,,120,,0.00,10.74,,100,,100,,0.00,11.88
E10000029,935,Suffolk,90-99,,330,,0.00,10.57,,90-99,,325,,0.00,8.26,,90-99,,335,,x,11.31,,90-99,,320,,0.00,8.07,,90-99,,295,,x,10.17
E06000034,883,Thurrock,100,,90,,x,15.73,,100,,85,,x,10.59,,100,,85,,0.00,10.59,,90-99,,100,,0.00,8.91,,100,,115,,0.00,13.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LONDON,.,,"4,120",,0.41,13.56,,.,,"4,070",,0.32,12.89,,.,,"3,830",,0.21,12.39,,.,,"3,800",,x,9.98,,.,,"3,690",,0.27,11.23
,,INNER LONDON,.,,"1,940",,0.72,15.14,,.,,"1,860",,0.38,13.84,,.,,"1,750",,x,12.89,,.,,"1,720",,x,10.66,,.,,"1,660",,0.36,12.00
E09000007,202,Camden,90-99,,100,,x,7.07,,90-99,,85,,0.00,17.24,,100,,90,,0.00,16.30,,90-99,,90,,0.00,11.11,,100,,100,,0.00,12.24
E09000001,201,City of London,100,,5,,0.00,0.00,,100,,0,,0.00,0.00,,100,,0,,0.00,0.00,,100,,5,,0.00,0.00,,100,,5,,0.00,0.00
E09000012,204,Hackney,90-99,,135,,x,16.79,,90-99,,120,,x,18.33,,90-99,,110,,0.00,15.32,,90-99,,120,,0.00,11.48,,100,,130,,x,9.85
E09000013,205,Hammersmith & Fulham,90-99,,110,,x,13.64,,90-99,,90,,0.00,15.56,,90-99,,85,,0.00,16.09,,<90,,75,,0.00,13.51,,<90,,65,,0.00,10.61
E09000014,309,Haringey,90-99,,205,,x,16.43,,90-99,,235,,0.00,12.77,,90-99,,250,,x,8.06,,90-99,,255,,0.00,7.11,,100,,235,,x,9.79
E09000019,206,Islington,100,,135,,0.00,12.69,,100,,120,,x,14.88,,100,,110,,0.00,19.27,,100,,110,,0.00,12.73,,100,,105,,x,11.65
E09000020,207,Kensington and Chelsea,100,,65,,x,13.85,,100,,50,,0.00,11.54,,100,,45,,0.00,x,,90-99,,35,,0.00,x,,100,,25,,0.00,x
E09000022,208,Lambeth,90-99,,215,,x,17.51,,90-99,,215,,x,13.95,,100,,175,,0.00,9.25,,100,,175,,0.00,9.09,,100,,170,,0.00,15.79
E09000023,209,Lewisham,90-99,,210,,0.00,14.42,,90-99,,220,,x,18.35,,90-99,,205,,0.00,12.32,,90-99,,210,,0.00,11.06,,90-99,,210,,0.00,15.57
E09000025,316,Newham,90-99,,240,,x,15.29,,90-99,,210,,0.00,10.85,,100,,190,,0.00,12.70,,100,,170,,0.00,9.47,,100,,145,,0.00,13.79
E09000028,210,Southwark,90-99,,200,,x,20.79,,90-99,,190,,0.00,13.30,,90-99,,195,,0.00,16.06,,90-99,,210,,x,13.46,,90-99,,220,,x,10.96
E09000030,211,Tower Hamlets,100,,125,,0.00,14.29,,90-99,,135,,0.00,9.56,,90-99,,120,,0.00,11.76,,100,,115,,0.00,10.62,,90-99,,105,,0.00,12.15
E09000032,212,Wandsworth,90-99,,100,,0.00,10.89,,90-99,,100,,x,11.22,,100,,95,,x,16.13,,100,,85,,0.00,13.79,,100,,70,,0.00,x
