Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LAI4: Emotional and behavioural health of children looked after continuously for 12 months at 31 March for whom a Strengths and Difficulties Questionnaire (SDQ) was completed, by Local Authority1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,numbers and percentages,,,,,,,,,,,,
,,2013,,,,,,,,2014,,,,,,,,2015,,,,,,,,,,,,,,,,,,
,,Number of children looked after for at least 12 months aged 5 to 161,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score2,Percentage of children for whom an SDQ score was submitted,Average score per child3,Banded SDQ Score4,,,,Number of children looked after for at least 12 months aged 5 to 161,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score2,Percentage of children for whom an SDQ score was submitted,Average score per child3,Banded SDQ Score4,,,,Number of children looked after for at least 12 months aged 5 to 161,Number of children looked after for at least 12 months aged 5 to 16 with an SDQ score2,Percentage of children for whom an SDQ score was submitted,Average score per child3,Banded SDQ Score4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Percentage,,,,,,,,Percentage,,,,,,,,Percentage,,,,,,,,,,,,,,
,,,,,,Normal,Borderline,Concern,,,,,,Normal,Borderline,Concern,,,,,,Normal,Borderline,Concern,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Nottingham,260,245,94,15.2,44,11,46,,275,250,92,15.1,41,18,41,,265,230,88,16.1,42,10,48,,,,,,,,,,,,
891,Nottinghamshire,405,265,66,15.5,41,15,44,,415,215,52,15.0,44,13,43,,440,265,60,15.4,42,11,47,,,,,,,,,,,,
857,Rutland,15,15,81,21.5,x,x,85,,15,15,94,19.7,x,x,73,,20,10,50,8.7,x,x,x,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Midlands,4490,3140,70,13.7,52,12,36,,4810,2840,59,13.5,53,12,35,,5020,3260,65,13.5,52,12,36,,,,,,,,,,,,
330,Birmingham,1005,935,93,13.6,52,11,36,,1015,860,85,13.0,57,11,32,,1005,850,85,12.5,58,11,31,,,,,,,,,,,,
331,Coventry,290,185,64,14.8,44,18,38,,305,180,58,14.9,46,10,44,,300,225,75,14.8,47,10,43,,,,,,,,,,,,
332,Dudley,420,325,77,12.8,58,10,32,,450,330,73,13.1,54,12,34,,460,385,83,13.1,54,13,34,,,,,,,,,,,,
884,Herefordshire,90,30,34,13.8,52,x,x,,115,25,22,14.0,46,x,x,,135,35,28,14.4,49,19,32,,,,,,,,,,,,
333,Sandwell,310,175,57,14.3,50,9,41,,330,95,29,14.7,48,16,36,,335,165,49,12.7,54,13,33,,,,,,,,,,,,
893,Shropshire,115,70,59,12.9,57,9,35,,145,85,57,13.6,48,17,35,,155,100,65,15.1,42,14,45,,,,,,,,,,,,
334,Solihull,175,115,67,13.2,57,7,36,,165,120,72,12.6,58,13,29,,170,100,60,13.3,56,9,35,,,,,,,,,,,,
860,Staffordshire,465,195,43,14.4,48,12,40,,510,205,40,14.3,53,10,37,,545,280,51,14.6,46,13,41,,,,,,,,,,,,
861,Stoke-on-Trent,225,220,97,14.4,49,9,42,,240,230,96,13.8,51,13,36,,250,210,84,14.3,49,13,38,,,,,,,,,,,,
894,Telford and Wrekin,170,165,97,14.1,49,16,34,,175,125,73,15.8,39,9,53,,165,105,62,13.9,51,15,34,,,,,,,,,,,,
335,Walsall,290,115,40,14.5,43,14,43,,315,100,31,13.3,48,13,39,,350,25,7,18.0,32,x,x,,,,,,,,,,,,
937,Warwickshire,325,190,59,13.3,55,12,33,,335,200,60,13.0,54,18,27,,355,255,71,13.0,51,16,33,,,,,,,,,,,,
336,Wolverhampton,315,265,84,12.6,59,12,29,,365,200,55,12.3,60,12,28,,445,385,86,13.2,54,14,32,,,,,,,,,,,,
885,Worcestershire,290,150,51,14.8,44,15,41,,340,90,26,15.2,45,13,42,,345,145,42,15.1,42,9,49,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East of England,3290,2480,75,14.2,49,13,39,,3210,2120,66,14.2,48,13,39,,3310,2540,77,14.3,48,13,39,,,,,,,,,,,,
822,Bedford Borough,95,80,82,15.8,40,x,x,,110,85,75,16.1,34,18,48,,130,120,93,14.2,47,13,40,,,,,,,,,,,,
823,Central Bedfordshire,100,100,100,14.8,44,12,44,,115,115,100,14.1,50,14,36,,135,135,100,14.2,52,11,37,,,,,,,,,,,,
873,Cambridgeshire,255,185,73,14.5,46,15,39,,260,185,72,13.6,55,11,34,,275,255,93,14.5,47,12,41,,,,,,,,,,,,
881,Essex,745,485,65,14.1,48,12,40,,650,430,66,13.9,49,14,36,,590,465,79,14.0,48,13,39,,,,,,,,,,,,
919,Hertfordshire,485,405,83,12.9,57,11,32,,470,195,41,12.6,60,10,29,,490,370,75,13.2,53,13,34,,,,,,,,,,,,
821,Luton,205,140,69,13.4,56,10,34,,205,115,57,14.2,47,12,41,,205,105,50,14.0,50,13,38,,,,,,,,,,,,
926,Norfolk,555,505,91,14.5,46,15,39,,560,520,93,14.5,46,13,41,,620,565,91,14.3,48,14,38,,,,,,,,,,,,
874,Peterborough,170,145,86,13.7,52,13,35,,185,70,39,13.5,53,14,33,,185,x,x,x,x,x,x,,,,,,,,,,,,
882,Southend-on-Sea,145,90,61,14.6,45,12,43,,120,65,52,13.6,59,13,29,,120,80,67,14.8,41,17,41,,,,,,,,,,,,
935,Suffolk,410,220,54,15.4,42,13,45,,385,195,51,15.9,34,14,52,,395,270,69,16.0,41,11,48,,,,,,,,,,,,
883,Thurrock,125,125,99,14.6,47,13,40,,145,145,100,14.8,45,11,44,,165,165,100,14.3,52,12,36,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,London,4810,3860,80,13.5,53,13,34,,4640,3620,78,13.4,53,13,34,,4720,3870,82,13.2,54,12,34,,,,,,,,,,,,
,Inner London,2170,1640,75,13.4,53,12,35,,2100,1490,71,12.9,56,13,32,,2080,1680,80,13.0,55,12,33,,,,,,,,,,,,
202,Camden,125,115,91,14.5,46,17,37,,115,100,86,12.9,50,16,34,,110,105,95,12.6,54,10,37,,,,,,,,,,,,
201,City of London,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,,,,,,,,,,,
204,Hackney,155,105,66,14.9,50,7,44,,160,95,59,13.9,46,20,34,,175,135,78,14.7,47,13,40,,,,,,,,,,,,
205,Hammersmith and Fulham,105,80,74,11.5,63,13,24,,100,60,60,11.9,63,15,22,,95,85,90,8.8,72,7,21,,,,,,,,,,,,
309,Haringey,300,165,55,14.1,48,13,39,,265,170,63,13.5,54,11,35,,270,225,83,13.4,57,9,34,,,,,,,,,,,,
206,Islington,150,145,95,14.2,47,9,44,,150,105,71,15.6,40,12,48,,145,125,85,13.6,52,17,31,,,,,,,,,,,,
207,Kensington and Chelsea,50,40,82,13.2,59,15,27,,40,35,85,13.1,57,x,x,,35,30,86,10.9,67,x,x,,,,,,,,,,,,
208,Lambeth,215,165,76,17.3,34,12,54,,220,175,80,12.7,55,15,31,,235,165,70,9.6,70,11,20,,,,,,,,,,,,
209,Lewisham,245,240,96,13.4,50,17,33,,250,230,92,13.7,55,10,35,,265,235,88,14.1,49,12,39,,,,,,,,,,,,
316,Newham,210,195,94,9.4,77,7,16,,185,185,99,10.5,70,8,22,,175,175,100,13.0,55,10,35,,,,,,,,,,,,
210,Southwark,265,75,28,11.0,65,13,21,,275,90,32,13.4,52,13,35,,265,180,67,14.5,49,15,37,,,,,,,,,,,,
211,Tower Hamlets,140,125,90,12.7,60,10,31,,140,70,50,12.5,64,12,25,,135,80,58,14.2,57,10,33,,,,,,,,,,,,
212,Wandsworth,105,100,92,14.4,46,13,41,,95,80,81,14.3,50,14,36,,90,75,80,14.1,53,10,37,,,,,,,,,,,,
