New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2015,CLA_2015,CLA_stp2015,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E06000028,LA,837,Bournemouth,259,416,x,139,120,19,43,35,113,49,216,21,x,x,x,16,201,15,x,0,x,29,x,0,30,90,0,26,113,0,0,0,130,0,x,122,x,x,0,101,158,59,-99
E06000047,LA,840,Durham,619,871,39,352,267,57,97,153,225,87,604,x,0,x,x,0,520,24,20,x,49,x,x,0,35,328,0,59,197,0,0,x,502,x,x,68,24,x,0,491,128,401,273
E06000005,LA,841,Darlington,200,288,x,108,92,12,37,38,76,37,183,x,x,0,x,8,157,x,x,x,25,x,x,0,8,81,0,16,95,0,0,0,126,x,0,58,x,x,0,126,74,98,24
E10000011,LA,845,East Sussex,545,727,52,324,221,26,75,127,219,98,501,26,x,10,x,0,430,42,14,x,51,x,x,0,49,299,0,97,100,0,0,6,379,18,x,112,18,x,0,453,92,215,123
E06000043,LA,846,Brighton and Hove,471,650,12,235,236,34,55,88,184,110,393,37,16,19,6,0,379,25,7,x,46,x,7,0,44,216,0,61,150,0,0,9,213,14,x,228,8,x,0,185,286,54,-232
E10000014,LA,850,Hampshire,1341,1842,16,743,598,69,194,289,507,282,1201,54,24,22,19,21,1016,70,80,40,110,8,17,0,141,545,0,x,527,0,x,20,779,x,x,448,27,80,0,940,401,601,200
E06000044,LA,851,Portsmouth,320,469,x,194,126,25,61,68,111,55,280,21,x,11,x,0,259,16,9,0,30,x,x,x,42,167,0,43,68,0,0,9,209,x,x,73,21,9,x,131,189,64,-125
E06000045,LA,852,Southampton,582,757,0,330,252,34,146,154,178,70,457,65,32,14,x,x,469,51,27,x,21,x,x,x,117,264,0,109,x,0,x,x,309,44,x,178,18,27,x,289,293,74,-219
E10000018,LA,855,Leicestershire,472,692,58,271,201,35,87,83,166,101,427,33,7,x,x,0,330,34,12,36,45,9,6,0,60,186,0,x,171,0,x,9,271,9,x,171,x,12,0,341,131,390,259
E06000016,LA,856,Leicester,564,746,0,327,237,29,113,121,192,109,363,93,53,44,x,x,435,23,26,x,59,10,x,x,83,301,x,x,113,0,x,x,403,53,x,61,12,26,x,299,265,88,-177
