New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaParPlan,CLA_ceaParNPlan,CLA_ceaNoPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_ceaRemEnd,CLA_ceaAgeAssmt,CLA_ceaAbroad,CLA_cea_OthRea
E10000024,LA,891,Nottinghamshire,380,202,178,26,119,60,39,136,38,59,0,x,65,31,10,11,14,40,60,25,8,x,x,0,0,9
E06000018,LA,892,Nottingham,284,152,132,24,88,34,48,90,58,12,0,x,54,x,18,x,12,32,42,12,x,x,7,x,x,18
E06000051,LA,893,Shropshire,95,54,41,x,22,18,x,33,16,0,x,0,36,x,x,0,0,x,15,x,x,0,x,0,0,13
E06000020,LA,894,Telford and Wrekin,127,65,62,12,44,15,16,40,12,24,0,0,31,x,x,8,8,x,12,6,9,x,x,0,0,9
E06000049,LA,895,Cheshire East,126,67,59,10,32,17,24,43,14,7,0,x,26,18,x,x,7,11,x,x,0,x,0,0,0,33
E06000050,LA,896,Cheshire West and Chester,144,81,63,7,44,29,24,40,25,6,x,x,30,0,0,x,25,11,17,x,8,x,0,0,0,11
E06000052,LA,908,Cornwall,254,132,122,40,66,28,59,61,0,39,0,x,70,27,x,13,x,23,20,8,x,0,0,0,0,43
E10000006,LA,909,Cumbria,215,123,92,18,56,40,35,66,36,14,0,0,33,19,0,12,11,18,9,x,9,x,0,0,0,46
E10000013,LA,916,Gloucestershire,251,125,126,25,77,24,33,92,17,35,0,0,51,26,0,6,17,7,25,x,6,x,0,0,0,54
E10000015,LA,919,Hertfordshire,514,294,220,23,112,72,90,217,42,26,x,6,112,31,19,46,11,34,77,35,14,9,x,x,x,44
E06000046,LA,921,Isle of Wight,77,47,30,7,12,6,16,36,6,x,0,0,18,6,x,x,x,x,x,x,x,x,0,0,0,28
E10000019,LA,925,Lincolnshire,328,163,165,36,118,41,58,75,23,46,x,x,77,15,7,12,20,37,41,6,0,x,x,x,x,31
E10000020,LA,926,Norfolk,509,276,233,39,158,54,58,200,16,87,0,x,150,21,x,16,x,33,123,13,16,x,0,0,0,23
E10000021,LA,928,Northamptonshire,437,268,169,30,96,81,66,164,46,22,x,0,131,0,0,6,37,8,32,11,x,x,0,x,0,134
E06000048,LA,929,Northumberland,100,61,39,13,39,10,20,18,21,0,0,0,24,x,8,6,6,12,6,x,x,x,0,0,0,7
E10000025,LA,931,Oxfordshire,245,126,119,28,64,39,42,72,32,x,0,0,78,7,0,9,19,21,13,0,x,0,0,0,0,59
E10000027,LA,933,Somerset,295,150,145,38,76,34,56,91,31,25,x,0,87,22,41,6,x,13,28,x,7,0,0,x,x,19
E10000029,LA,935,Suffolk,320,165,155,30,107,48,39,96,35,37,0,x,67,14,x,x,23,17,25,x,x,6,0,x,0,73
E10000030,LA,936,Surrey,372,220,152,28,96,49,56,143,x,48,x,x,73,47,7,7,22,30,44,x,22,x,x,x,x,56
E10000031,LA,937,Warwickshire,327,187,140,26,86,56,53,106,7,57,0,x,109,x,0,11,14,22,29,45,x,x,0,0,0,25
E10000032,LA,938,West Sussex,327,190,137,20,71,28,69,139,23,18,0,x,122,11,13,0,10,10,74,x,14,x,x,x,0,19
