New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2012,CLA_2012,CLA_stp2012,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLAA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E09000029,LA,319,Sutton,153,230,17,81,72,x,25,31,51,41,118,23,x,7,x,0,118,10,x,x,11,x,x,x,0,28,56,0,27,42,0,0,x,0,86,6,0,53,x,x,x,99,37,17,29,69,71,79,8
E09000031,LA,320,Waltham Forest,312,456,32,173,139,21,41,55,102,93,115,64,21,89,18,x,231,18,x,0,49,x,8,0,0,46,102,x,24,131,0,6,17,0,99,43,x,157,x,x,0,203,76,33,72,93,201,222,21
E08000025,LA,330,Birmingham,1896,2531,96,973,923,132,364,358,714,328,1037,379,214,260,x,x,1359,84,135,54,218,12,15,x,15,383,795,20,211,483,x,x,31,0,1010,8,x,709,10,135,19,1235,435,226,564,1078,715,390,x
E08000026,LA,331,Coventry,578,816,54,287,291,40,105,114,215,104,425,75,31,32,10,x,401,43,26,x,83,x,16,x,0,125,225,7,70,147,x,x,9,0,257,10,0,282,x,26,x,370,140,68,152,280,254,122,x
E08000027,LA,332,Dudley,678,796,33,360,318,30,159,147,261,81,589,71,7,6,x,0,543,19,62,6,42,x,x,0,0,123,383,x,64,103,0,0,0,0,381,10,x,220,x,62,0,475,147,56,200,366,293,145,x
E08000028,LA,333,Sandwell,576,752,54,338,238,31,142,108,211,84,401,85,40,45,x,0,441,33,37,9,39,x,6,6,x,127,269,0,64,114,x,x,x,0,319,11,x,173,27,37,7,388,131,57,131,272,264,248,x
E08000029,LA,334,Solihull,366,530,22,220,146,14,48,64,117,123,233,40,64,20,9,0,248,7,36,x,64,x,x,x,x,53,136,0,25,152,0,0,76,0,140,x,x,185,x,36,x,226,95,45,78,131,226,133,x
E08000030,LA,335,Walsall,489,654,45,264,225,22,97,131,167,72,364,75,30,18,x,0,382,25,37,9,31,x,x,0,0,80,290,x,37,75,x,x,x,0,313,9,x,120,9,37,0,349,96,44,150,266,198,221,23
E08000031,LA,336,Wolverhampton,575,724,42,310,265,34,155,133,193,60,411,71,18,52,11,12,475,17,28,8,42,x,x,x,0,214,190,x,79,89,0,x,x,0,285,x,x,257,0,28,x,409,114,52,113,267,290,107,x
E08000011,LA,340,Knowsley,255,323,52,151,104,8,48,62,90,47,247,6,0,x,x,0,191,x,25,x,12,7,x,x,6,39,155,0,27,34,0,0,0,0,190,x,x,23,x,25,9,185,43,27,89,136,105,101,x
