New_geog_code,geog_l,geog_c,geog_n,CLA_started2012,CLA_taken2012,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E06000021,LA,861,Stoke-on-Trent,192,84,97,95,43,40,32,55,22,120,x,9,9,20,15,0,15,63,0,0,106,16,x,0,x,0,0
E06000054,LA,865,Wiltshire,179,40,87,92,37,33,39,62,8,95,10,8,20,41,x,0,x,21,0,0,139,18,x,0,0,0,0
E06000030,LA,866,Swindon,102,22,52,50,11,21,14,31,25,53,6,x,16,16,x,0,6,7,0,0,75,x,10,0,x,0,x
E06000036,LA,867,Bracknell Forest,51,15,25,26,9,13,9,19,x,29,x,x,x,7,0,0,6,8,x,0,36,x,x,0,0,0,0
E06000040,LA,868,Windsor and Maidenhead,47,15,21,26,6,6,7,22,6,26,x,x,x,8,0,0,x,x,0,0,32,10,x,0,0,0,0
E06000037,LA,869,West Berkshire,61,15,31,30,12,x,10,30,8,29,x,x,x,19,x,0,x,12,0,0,46,x,0,0,0,0,0
E06000038,LA,870,Reading,121,46,52,69,25,29,23,40,x,83,x,x,6,11,x,0,11,27,0,0,74,15,x,0,x,0,0
E06000039,LA,871,Slough,101,24,53,48,23,23,17,29,9,50,x,15,x,6,x,x,14,8,0,0,75,15,x,0,x,0,0
E06000041,LA,872,Wokingham,34,x,20,14,x,x,x,14,7,16,x,0,9,6,0,0,x,x,0,0,32,0,0,0,0,0,0
E10000003,LA,873,Cambridgeshire,161,76,87,74,29,22,31,48,31,106,7,x,10,22,x,0,9,48,11,x,84,14,x,0,0,0,0
E06000031,LA,874,Peterborough,153,74,83,70,34,34,33,39,13,86,x,7,7,25,8,0,18,40,0,x,78,28,6,0,0,0,0
E06000006,LA,876,Halton,63,32,35,28,13,14,15,17,x,43,0,0,x,19,0,0,0,24,x,0,31,6,x,0,0,0,0
E06000007,LA,877,Warrington,113,43,52,61,24,32,15,36,6,82,x,x,11,x,6,0,x,9,x,0,69,27,6,0,x,0,0
E10000008,LA,878,Devon,397,73,202,195,60,50,51,137,99,206,14,7,66,64,10,x,29,50,0,0,324,19,x,0,0,0,0
E06000026,LA,879,Plymouth,164,62,86,77,44,36,25,26,32,97,8,24,x,10,x,12,x,48,x,x,96,9,x,0,x,0,0
E06000027,LA,880,Torbay,133,28,73,59,23,25,22,41,21,83,x,x,12,19,x,0,8,10,0,0,102,10,8,0,x,x,0
E10000012,LA,881,Essex,561,198,285,276,108,122,90,158,83,371,22,11,56,76,8,0,17,130,x,0,361,62,x,0,x,0,0
E06000033,LA,882,Southend-on-Sea,78,35,42,36,10,16,17,30,x,63,x,0,x,x,x,x,x,16,x,0,40,18,0,0,x,0,0
E06000034,LA,883,Thurrock,141,53,79,62,22,21,29,51,18,86,x,x,7,25,x,0,16,44,x,0,87,x,0,0,x,0,0
E06000019,LA,884,Herefordshire,119,35,53,66,22,24,27,32,14,64,7,13,x,27,x,0,x,22,0,0,78,13,0,0,x,0,x
E10000034,LA,885,Worcestershire,201,57,114,87,44,35,23,68,31,95,9,13,17,50,x,0,12,34,x,x,141,18,x,0,x,0,x
E10000016,LA,886,Kent,908,277,526,382,154,168,142,285,159,388,9,22,81,240,20,0,148,144,x,x,619,106,26,0,11,0,0
E06000035,LA,887,Medway,195,33,104,91,50,34,36,47,28,97,11,x,x,80,x,0,x,23,0,0,162,10,0,0,0,0,0
E10000017,LA,888,Lancashire,490,210,257,233,120,110,86,125,49,337,16,x,40,64,9,0,19,130,0,0,269,75,x,0,11,0,0
E06000008,LA,889,Blackburn with Darwen,140,65,70,70,27,44,36,29,x,88,x,x,18,27,x,0,x,51,0,0,69,12,x,0,6,0,0
E06000009,LA,890,Blackpool,148,48,80,68,41,27,23,45,12,96,x,14,10,19,x,0,x,18,x,0,95,27,0,0,x,x,0
E10000024,LA,891,Nottinghamshire,402,96,198,204,89,84,64,128,37,178,18,13,55,103,12,x,20,80,x,0,301,7,6,0,x,0,x
E06000018,LA,892,Nottingham,230,87,115,115,50,50,33,79,18,147,10,x,20,23,7,x,20,56,x,0,127,25,x,0,16,0,0
E06000051,LA,893,Shropshire,93,20,58,35,16,10,20,36,11,39,x,x,x,37,x,0,x,12,x,0,69,7,0,0,x,0,0
E06000020,LA,894,Telford and Wrekin,148,62,73,75,36,38,31,40,x,118,7,7,x,10,x,0,x,22,0,x,84,34,6,0,x,0,0
E06000049,LA,895,Cheshire East,121,50,70,51,22,31,17,35,16,82,x,0,16,9,x,0,7,26,0,0,71,23,x,0,0,0,0
E06000050,LA,896,Cheshire West and Chester,158,53,83,75,33,33,35,49,8,90,x,0,17,41,x,0,x,49,0,0,104,x,x,0,x,0,0
E06000052,LA,908,Cornwall,246,100,131,115,55,57,47,74,13,119,15,34,22,52,x,0,x,51,x,0,145,32,12,0,x,0,0
E10000006,LA,909,Cumbria,243,121,127,116,58,64,41,72,8,158,x,6,19,52,x,0,0,91,x,0,120,17,11,0,x,0,0
