New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_cea17,CLA_cea18,CLA_ceaAdop1,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaParPlan,CLA_ceaParNPlan,CLA_ceaNoPar,CLA_ceaROG,CLA_ceaSpecG1,CLA_ceaSpecG2,CLA_ceaIndLiv1,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_ceaRemEnd,CLA_ceaAgeAssmt,CLA_ceaAbroad,CLA_cea_OthRea
E06000052,LA,908,Cornwall,260,142,118,31,63,34,54,15,16,47,0,31,0,0,75,12,x,7,29,15,21,6,x,0,0,0,0,56
E10000006,LA,909,Cumbria,236,131,105,26,69,38,29,6,12,56,41,19,x,0,42,x,0,14,10,16,21,x,9,6,0,0,0,49
E10000013,LA,916,Gloucestershire,301,172,129,29,71,52,58,11,9,71,x,28,0,0,97,x,0,22,21,29,28,10,x,9,0,0,0,49
E10000015,LA,919,Hertfordshire,512,313,199,27,123,61,80,39,27,155,39,26,0,x,75,51,0,51,31,x,61,30,23,x,0,0,0,99
E06000046,LA,921,Isle of Wight,73,43,30,x,12,8,14,x,x,27,x,x,0,0,15,x,x,x,7,x,8,x,x,x,0,0,0,19
E10000019,LA,925,Lincolnshire,300,175,125,44,90,36,35,14,15,66,15,32,0,0,77,6,18,8,37,23,x,44,6,17,x,x,x,8
E10000020,LA,926,Norfolk,416,230,186,41,107,53,54,20,20,121,10,64,x,0,119,22,x,11,x,35,114,7,x,x,0,0,0,23
E10000021,LA,928,Northamptonshire,498,288,210,35,113,84,82,26,15,143,43,28,x,x,99,26,0,16,56,17,37,9,11,x,0,x,0,142
E06000048,LA,929,Northumberland,185,103,82,16,66,43,17,6,6,31,38,0,0,x,51,7,x,22,10,19,11,x,x,x,0,0,0,13
E10000025,LA,931,Oxfordshire,281,161,120,27,71,38,42,19,11,73,36,14,0,0,84,x,0,12,22,9,28,7,x,x,0,x,0,58
E10000027,LA,933,Somerset,227,119,108,27,75,21,45,x,x,45,26,24,x,x,71,21,21,x,x,10,25,x,8,x,x,x,x,6
E10000029,LA,935,Suffolk,286,158,128,41,86,36,34,x,x,75,29,24,0,0,58,6,x,9,33,17,50,x,x,x,x,x,x,44
E10000030,LA,936,Surrey,402,224,178,28,84,63,67,20,29,111,x,47,0,x,88,38,0,14,26,15,54,7,12,x,0,8,0,85
E10000031,LA,937,Warwickshire,314,178,136,18,61,46,57,24,21,87,9,45,x,x,79,0,0,x,15,9,29,26,x,x,0,6,0,83
E10000032,LA,938,West Sussex,387,212,175,26,83,53,68,25,26,106,19,14,0,6,127,25,28,x,34,10,64,11,6,x,0,8,x,29
