New_geog_code,geog_l,geog_c,geog_n,CLA_started2016,CLA_taken2016,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E06000052,LA,908,Cornwall,246,114,130,116,49,43,39,101,14,138,11,23,30,38,x,x,0,88,x,0,132,x,0,0,0,0,0
E10000006,LA,909,Cumbria,207,108,101,106,58,43,49,40,17,166,x,x,9,19,x,0,0,72,0,0,x,27,9,0,x,0,0
E10000013,LA,916,Gloucestershire,330,94,185,145,54,60,78,91,47,217,x,x,22,58,x,0,19,68,x,x,226,14,x,0,x,0,0
E10000015,LA,919,Hertfordshire,500,197,313,187,65,84,80,150,121,168,12,23,149,133,x,x,x,96,13,x,294,82,6,0,x,0,0
E06000046,LA,921,Isle of Wight,73,x,38,35,12,11,12,28,10,38,x,x,7,18,x,0,0,23,x,0,41,x,0,0,x,x,0
E10000019,LA,925,Lincolnshire,300,82,185,115,77,56,48,78,41,238,8,x,x,7,7,0,33,57,x,0,209,x,0,0,9,0,0
E10000020,LA,926,Norfolk,375,x,193,182,83,89,79,75,49,242,x,9,26,80,x,0,8,106,x,x,207,53,x,0,0,x,0
E10000021,LA,928,Northamptonshire,541,213,325,216,86,93,92,146,124,221,22,22,17,154,x,x,94,147,x,x,319,x,x,0,x,x,0
E06000048,LA,929,Northumberland,205,x,112,93,33,59,51,52,10,92,x,x,40,63,x,0,0,x,x,0,167,0,x,0,x,0,0
E10000025,LA,931,Oxfordshire,357,158,206,151,61,65,66,108,57,205,x,20,28,48,x,0,44,120,x,0,199,29,x,0,0,0,0
E10000027,LA,933,Somerset,234,x,123,111,47,49,46,67,25,190,7,x,17,14,x,0,x,38,6,0,144,30,15,0,x,0,0
E10000029,LA,935,Suffolk,344,121,178,166,82,57,59,98,48,138,15,x,54,91,x,0,32,89,x,x,217,16,x,0,x,0,0
E10000030,LA,936,Surrey,489,114,293,196,60,72,90,170,97,271,x,x,30,56,14,0,103,56,x,0,368,47,x,0,7,0,0
E10000031,LA,937,Warwickshire,375,x,241,134,50,54,73,113,85,159,x,x,31,62,14,0,97,63,9,0,270,21,x,0,x,x,0
E10000032,LA,938,West Sussex,380,x,210,170,53,64,55,123,85,182,19,26,27,27,7,0,92,38,0,0,269,59,x,0,x,0,0
