time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.5 Other children looked after services,191335,0,0,10864,202199,0,202199,0,0,202199,4
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.7 Children placed with family and friends,315136,0,0,0,315136,0,315136,0,0,315136,6
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.8 Education of looked after children,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.9 Leaving care support services,657463,0,0,27493,684956,2510,682446,8638,0,673808,14
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.10 Asylum seeker services children,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Children looked after,3.1.11 Total Children Looked After,10647924,0,42096,7118453,17808473,474944,17333529,429344,0,16904185,343
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Other children and family services,3.2.1 Other children and families services,0,0,0,0,0,0,0,0,0,0,0
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),8019156,0,0,0,8019156,100830,7918326,0,0,7918326,157
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,1575549,0,0,0,1575549,134139,1441410,0,0,1441410,29
201819,Financial year,Local authority,England,E92000001,Yorkshire and The Humber,E12000003,Barnsley,370,E08000016,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,245242,0,0,0,245242,62401,182841,0,0,182841,4
