time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,performance_type,cla_ks4_outcomes_children_total,cla_ks4_englishandmathsL4_number_achieving,cla_ks4_englishandmathsL4_percent_achieving,cla_ks4_englishandmathsL5_number_achieving,cla_ks4_englishandmathsL5_percent_achieving,cla_ks4_att8_points_total,cla_ks4_att8_average_points,cla_ks4_progress8_children_eligible,cla_ks4_progress8_points_total,cla_ks4_progress8_points_average
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,KS4,83,18,21.7,7,8.4,1735.75,20.9,65,-65.747,-1.01
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,KS4,17,c,c,c,c,307.25,18.1,14,-28.438,-2.03
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,KS4,30,7,23.3,c,c,732.25,24.4,23,-22.346,-0.97
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,KS4,19,c,c,c,c,456.25,24,15,-11.133,-0.74
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,KS4,50,c,c,c,c,716.75,14.3,40,-66.345,-1.66
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,KS4,136,26,19.1,12,8.8,2623.25,19.3,104,-151.443,-1.46
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,KS4,20,c,c,c,c,541.75,27.1,16,-3.336,-0.21
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,KS4,108,17,15.7,7,6.5,1793.75,16.6,86,-120.683,-1.4
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,KS4,23,8,34.8,6,26.1,569.5,24.8,20,-17.502,-0.88
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,KS4,37,c,c,c,c,469.5,12.7,28,-51.055,-1.82
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,KS4,71,17,23.9,8,11.3,1481.25,20.9,62,-80.415,-1.3
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,KS4,39,8,20.5,c,c,800.25,20.5,34,-37.273,-1.1
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,KS4,20,c,c,c,c,300.5,15,14,-14.063,-1
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,KS4,33,c,c,c,c,663.5,20.1,24,-31.558,-1.31
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,KS4,40,6,15,c,c,719.75,18,32,-44.448,-1.39
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,KS4,34,c,c,c,c,669.5,19.7,29,-29.059,-1
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,KS4,60,14,23.3,c,c,1255.25,20.9,54,-74.829,-1.39
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,KS4,50,11,22,c,c,1107.75,22.2,36,-27.257,-0.76
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,KS4,52,7,13.5,c,c,809.25,15.6,41,-75.152,-1.83
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,KS4,83,20,24.1,8,9.6,1838.75,22.2,63,-63.568,-1.01
